# File: ../../samples/ephem_short.dat
#
# Ephemeris generated from specified elements
# Propagator: SGP4 (improved,WGS84)
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
55462.11458333,-1.38318321,1.01598939,0.68788653
55462.11805556,-1.55687156,0.85588494,0.57285826
55462.12152778,-1.69740504,0.67753077,0.44559851
55462.12500000,-1.80260691,0.48505791,0.30904018
55462.12847222,-1.87092758,0.28265044,0.16614313
55462.13194444,-1.90140357,0.07451976,0.01987668
55462.13541667,-1.89362963,-0.13511176,-0.12679151
55462.13888889,-1.84774513,-0.34202189,-0.27090309
55462.14236111,-1.76443490,-0.54199808,-0.40951589
55462.14583333,-1.64494451,-0.73084931,-0.53971261
55462.14930556,-1.49110929,-0.90442401,-0.65861400
55462.15277778,-1.30539600,-1.05863831,-0.76339950
55462.15625000,-1.09095471,-1.18951922,-0.85133850
55462.15972222,-0.85167721,-1.29326798,-0.91983593
55462.16319444,-0.59225546,-1.36634911,-0.96649575
55462.16666667,-0.31823065,-1.40561064,-0.98920611
55462.17013889,-0.03601868,-1.40843938,-0.98624875
55462.17361111,0.24710667,-1.37295254,-0.95643299
55462.17708333,0.52309673,-1.29822078,-0.89925053
55462.18055556,0.78330290,-1.18450876,-0.81504096
55462.18402778,1.01876710,-1.03350732,-0.70514916
55462.18750000,1.22063955,-0.84851746,-0.57204671
55462.19097222,1.38071335,-0.63453612,-0.41938237
55462.19444444,1.49203263,-0.39819324,-0.25192687
55462.19791667,1.54949627,-0.14750438,-0.07538872
55462.20138889,1.55035501,0.10856261,0.10389857
55462.20486111,1.49450210,0.36066446,0.27938596
55462.20833333,1.38449284,0.59971976,0.44475595
55462.21180556,1.22528743,0.81750566,0.59433609
55462.21527778,1.02377350,1.00712480,0.72341766
55462.21875000,0.78816496,1.16329045,0.82844476
55462.22222222,0.52738182,1.28242303,0.90707078
55462.22569444,0.25049519,1.36258800,0.95810490
55462.22916667,-0.03371305,1.40332448,0.98138413
55462.23263889,-0.31706071,1.40541617,0.97760712
55462.23611111,-0.59215517,1.37064699,0.94815951
55462.23958333,-0.85248568,1.30157057,0.89495071
55462.24305556,-1.09244463,1.20130984,0.82027299
55462.24652778,-1.30730275,1.07339290,0.72668690
55462.25000000,-1.49315826,0.92162521,0.61693254
55462.25347222,-1.64687512,0.74999414,0.49386366
55462.25694444,-1.76602055,0.56260064,0.36040094
55462.26041667,-1.84880883,0.36361245,0.21949997
55462.26388889,-1.89405528,0.15723320,0.07413046
55462.26736111,-1.90114296,-0.05231712,-0.07273701
55462.27083333,-1.87000323,-0.26081488,-0.21813967
55462.27430556,-1.80111082,-0.46404255,-0.35912937
55462.27777778,-1.69549327,-0.65779914,-0.49278030
55462.28125000,-1.55475460,-0.83791525,-0.61620004
