# Irene Model output file: ../../unitTests/Legacy/CRRactive_NatEpochSa_Diff.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.03958333,1.08618785,3.29232703,-0.55545298,1.90548480e+11,2.03788800e+11,4.20892800e+10,9.81071999e+09,2.85024000e+09,7.86712499e+08,2.97240000e+08,7.05553124e+07,1.41881260e+07,3.53994126e+06
53219.04027778,1.07064964,3.31754285,-0.54309832,1.93939200e+11,2.07482880e+11,4.29216000e+10,1.00087200e+10,2.90448000e+09,8.01232500e+08,3.02910000e+08,7.19315625e+07,1.44473448e+07,3.61212877e+06
53219.04097222,1.05497614,3.34233943,-0.53067491,1.97329920e+11,2.11176960e+11,4.37539200e+10,1.02067200e+10,2.95872000e+09,8.15752500e+08,3.08580000e+08,7.33078125e+07,1.47065636e+07,3.68431627e+06
53219.04166667,1.03917111,3.36671961,-0.51818543,2.00759040e+11,2.14917120e+11,4.45996800e+10,1.04083200e+10,3.01401000e+09,8.30580001e+08,3.14381250e+08,7.47206251e+07,1.49735168e+07,3.75908191e+06
53219.04236111,1.02323848,3.39068621,-0.50563222,2.04226560e+11,2.18703360e+11,4.54588800e+10,1.06135200e+10,3.07035000e+09,8.45715000e+08,3.20313750e+08,7.61700000e+07,1.52482042e+07,3.83642568e+06
53219.04305556,1.00718185,3.41424190,-0.49301780,2.07694080e+11,2.22489600e+11,4.63180801e+10,1.08187200e+10,3.12669000e+09,8.60850001e+08,3.26246250e+08,7.76193751e+07,1.55228918e+07,3.91376947e+06
53219.04375000,0.99100483,3.43738935,-0.48034436,2.11107840e+11,2.26229760e+11,4.71633600e+10,1.10192400e+10,3.18177000e+09,8.75520000e+08,3.31938750e+08,7.90096875e+07,1.57896105e+07,3.98894526e+06
53219.04444444,0.97471073,3.46013122,-0.46761426,2.14467840e+11,2.29923840e+11,4.79947199e+10,1.12150800e+10,3.23559000e+09,8.89724999e+08,3.37391250e+08,8.03409374e+07,1.60483605e+07,4.06195308e+06
53219.04513889,0.95830315,3.48246986,-0.45482970,2.17827840e+11,2.33617920e+11,4.88260800e+10,1.14109200e+10,3.28941000e+09,9.03930000e+08,3.42843750e+08,8.16721875e+07,1.63071105e+07,4.13496090e+06
53219.04583333,0.94178538,3.50440812,-0.44199272,2.21187840e+11,2.37312000e+11,4.96574400e+10,1.16067600e+10,3.34323000e+09,9.18134999e+08,3.48296250e+08,8.30034374e+07,1.65658605e+07,4.20796872e+06
53219.04652778,0.92516057,3.52594833,-0.42910551,2.24547840e+11,2.41006080e+11,5.04888000e+10,1.18026000e+10,3.39705000e+09,9.32340000e+08,3.53748750e+08,8.43346875e+07,1.68246105e+07,4.28097654e+06
53219.04722222,0.90843201,3.54709270,-0.41617011,2.27950080e+11,2.44755840e+11,5.13360000e+10,1.20025200e+10,3.45213000e+09,9.46905000e+08,3.59355000e+08,8.57090625e+07,1.70929699e+07,4.35726561e+06
53219.04791667,0.89160268,3.56784389,-0.40318872,2.31394560e+11,2.48561280e+11,5.21990400e+10,1.22065200e+10,3.50847000e+09,9.61830001e+08,3.65115000e+08,8.71265626e+07,1.73709387e+07,4.43683593e+06
53219.04861111,0.87467557,3.58820395,-0.39016292,2.34839040e+11,2.52366720e+11,5.30620800e+10,1.24105200e+10,3.56481000e+09,9.76755000e+08,3.70875000e+08,8.85440625e+07,1.76489074e+07,4.51640625e+06
53219.04930556,0.85765382,3.60817538,-0.37709505,2.38225920e+11,2.56126080e+11,5.39035201e+10,1.26082800e+10,3.61989000e+09,9.91207501e+08,3.76417500e+08,8.99137501e+07,1.79189075e+07,4.59275392e+06
53219.05000000,0.84054009,3.62776023,-0.36398653,2.41555200e+11,2.59839360e+11,5.47233600e+10,1.27998000e+10,3.67371000e+09,1.00518750e+09,3.81742500e+08,9.12356250e+07,1.81809388e+07,4.66587891e+06
53219.05069444,0.82333736,3.64696086,-0.35083956,2.44884480e+11,2.63552640e+11,5.55431999e+10,1.29913200e+10,3.72753000e+09,1.01916750e+09,3.87067500e+08,9.25574999e+07,1.84429700e+07,4.73900391e+06
53219.05138889,0.80604831,3.66577913,-0.33765586,2.48213760e+11,2.67265920e+11,5.63630400e+10,1.31828400e+10,3.78135000e+09,1.03314750e+09,3.92392500e+08,9.38793750e+07,1.87050013e+07,4.81212891e+06
53219.05208333,0.78867560,3.68421742,-0.32443715,2.51543040e+11,2.70979200e+11,5.71828800e+10,1.33743600e+10,3.83517000e+09,1.04712750e+09,3.97717500e+08,9.52012499e+07,1.89670326e+07,4.88525391e+06
53219.05277778,0.77122206,3.70227775,-0.31118502,2.54906880e+11,2.74736640e+11,5.80152000e+10,1.35692400e+10,3.89004000e+09,1.06140750e+09,4.03166250e+08,9.65578125e+07,1.92372670e+07,4.96107423e+06
53219.05347222,0.75369020,3.71996202,-0.29790134,2.58305280e+11,2.78538240e+11,5.88600000e+10,1.37674800e+10,3.94596000e+09,1.07598750e+09,4.08738750e+08,9.79490625e+07,1.95157045e+07,5.03958987e+06
53219.05416667,0.73608253,3.73727210,-0.28458768,2.61703680e+11,2.82339840e+11,5.97048000e+10,1.39657200e+10,4.00188000e+09,1.09056750e+09,4.14311250e+08,9.93403126e+07,1.97941420e+07,5.11810551e+06
53219.05486111,0.71840156,3.75421020,-0.27124576,2.65102080e+11,2.86141440e+11,6.05496000e+10,1.41639600e+10,4.05780000e+09,1.10514750e+09,4.19883750e+08,1.00731562e+08,2.00725795e+07,5.19662115e+06
53219.05555556,0.70064980,3.77077788,-0.25787701,2.68475520e+11,2.89900800e+11,6.13761601e+10,1.43556000e+10,4.11153000e+09,1.11919500e+09,4.25250000e+08,1.02088125e+08,2.03428139e+07,5.27085945e+06
53219.05625000,0.68282945,3.78697734,-0.24448299,2.71824000e+11,2.93617920e+11,6.21844800e+10,1.45406400e+10,4.16307000e+09,1.13271000e+09,4.30410000e+08,1.03410000e+08,2.06048452e+07,5.34082041e+06
53219.05694444,0.66494302,3.80280999,-0.23106542,2.75172480e+11,2.97335040e+11,6.29927999e+10,1.47256800e+10,4.21461000e+09,1.14622500e+09,4.35570000e+08,1.04731875e+08,2.08668764e+07,5.41078136e+06
53219.05763889,0.64699287,3.81827803,-0.21762557,2.78520960e+11,3.01052160e+11,6.38011200e+10,1.49107200e+10,4.26615000e+09,1.15974000e+09,4.40730000e+08,1.06053750e+08,2.11289077e+07,5.48074233e+06
53219.05833333,0.62898120,3.83338288,-0.20416515,2.81869440e+11,3.04769280e+11,6.46094400e+10,1.50957600e+10,4.31769000e+09,1.17325500e+09,4.45890000e+08,1.07375625e+08,2.13909390e+07,5.55070328e+06
53219.05902778,0.61091019,3.84812641,-0.19068527,2.85248640e+11,3.08524800e+11,6.54283200e+10,1.52835600e+10,4.37007000e+09,1.18701000e+09,4.51151250e+08,1.08726563e+08,2.16595328e+07,5.62283220e+06
53219.05972222,0.59278205,3.86251020,-0.17718781,2.88658560e+11,3.12318720e+11,6.62577600e+10,1.54741200e+10,4.42329000e+09,1.20100500e+09,4.56513750e+08,1.10106562e+08,2.19346890e+07,5.69712905e+06
53219.06041667,0.57459898,3.87653597,-0.16367372,2.92068480e+11,3.16112640e+11,6.70872000e+10,1.56646800e+10,4.47651000e+09,1.21500000e+09,4.61876250e+08,1.11486563e+08,2.22098453e+07,5.77142592e+06
53219.06111111,0.55636317,3.89020514,-0.15014471,2.95478400e+11,3.19906560e+11,6.79166400e+10,1.58552400e+10,4.52973000e+09,1.22899500e+09,4.67238750e+08,1.12866562e+08,2.24850016e+07,5.84572277e+06
53219.06180556,0.53807650,3.90351943,-0.13660190,2.98888320e+11,3.23700480e+11,6.87460801e+10,1.60458000e+10,4.58295000e+09,1.24299000e+09,4.72601250e+08,1.14246563e+08,2.27601579e+07,5.92001964e+06
53219.06250000,0.51974102,3.91648041,-0.12304668,3.02298240e+11,3.27494400e+11,6.95755200e+10,1.62363600e+10,4.63617000e+09,1.25698500e+09,4.77963750e+08,1.15626563e+08,2.30353142e+07,5.99431650e+06
53219.06319444,0.50135893,3.92908934,-0.10948047,3.05677440e+11,3.31248000e+11,7.03977600e+10,1.64209200e+10,4.68738000e+09,1.27035750e+09,4.83142500e+08,1.16974687e+08,2.33022673e+07,6.06386726e+06
