# Irene Model output file: ../../unitTests/Legacy/CRRactive_atEpoch_Diff.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.03263889,1.23319893,3.01644949,-0.67461718,1.63374720e+11,1.74017280e+11,3.48960000e+10,8.03376000e+09,2.37732000e+09,6.68212500e+08,2.52858750e+08,6.11681250e+07,1.28814849e+07,3.19836955e+06
53219.03333333,1.21925132,3.04602571,-0.66310412,1.66823040e+11,1.77768960e+11,3.57302400e+10,8.23535999e+09,2.43432000e+09,6.83842499e+08,2.58956250e+08,6.26362499e+07,1.31641412e+07,3.26950236e+06
53219.03402778,1.20512321,3.07515099,-0.65149297,1.70271360e+11,1.81520640e+11,3.65644800e+10,8.43696001e+09,2.49132000e+09,6.99472500e+08,2.65053750e+08,6.41043750e+07,1.34467975e+07,3.34063519e+06
53219.03472222,1.19081978,3.10382911,-0.63978701,1.73769600e+11,1.85331840e+11,3.74155200e+10,8.64323999e+09,2.54976000e+09,7.15552499e+08,2.71338750e+08,6.56249999e+07,1.37409381e+07,3.41522503e+06
53219.03541667,1.17634606,3.13206335,-0.62798955,1.77317760e+11,1.89202560e+11,3.82833600e+10,8.85420001e+09,2.60964000e+09,7.32082501e+08,2.77811250e+08,6.71981251e+07,1.40465631e+07,3.49327189e+06
53219.03611111,1.16170690,3.15985701,-0.61610356,1.80827520e+11,1.93029120e+11,3.91435200e+10,9.06264000e+09,2.66802000e+09,7.48072500e+08,2.84103750e+08,6.87281250e+07,1.43385944e+07,3.56944375e+06
53219.03680556,1.14690686,3.18721324,-0.60413250,1.84298880e+11,1.96811520e+11,3.99960001e+10,9.26856001e+09,2.72490000e+09,7.63522501e+08,2.90216250e+08,7.02150001e+07,1.46170319e+07,3.64374062e+06
53219.03750000,1.13195050,3.21413533,-0.59207889,1.87770240e+11,2.00593920e+11,4.08484800e+10,9.47448000e+09,2.78178000e+09,7.78972500e+08,2.96328750e+08,7.17018750e+07,1.48954694e+07,3.71803747e+06
53219.03819444,1.11684235,3.24062626,-0.57994601,1.91241600e+11,2.04376320e+11,4.17009599e+10,9.68039999e+09,2.83866000e+09,7.94422499e+08,3.02441250e+08,7.31887499e+07,1.51739069e+07,3.79233433e+06
53219.03888889,1.10158683,3.26668916,-0.56773638,1.94712960e+11,2.08158720e+11,4.25534400e+10,9.88632000e+09,2.89554000e+09,8.09872500e+08,3.08553750e+08,7.46756250e+07,1.54523444e+07,3.86663119e+06
53219.03958333,1.08618785,3.29232703,-0.55545298,1.98222720e+11,2.11987200e+11,4.34193600e+10,1.00958400e+10,2.95353000e+09,8.25652499e+08,3.14808750e+08,7.62009374e+07,1.57389850e+07,3.94362337e+06
53219.04027778,1.07064964,3.31754285,-0.54309832,2.01770880e+11,2.15861760e+11,4.42987200e+10,1.03089600e+10,3.01263000e+09,8.41762500e+08,3.21206250e+08,7.77646875e+07,1.60338288e+07,4.02331088e+06
53219.04097222,1.05497614,3.34233943,-0.53067491,2.05278720e+11,2.19692160e+11,4.51680000e+10,1.05181200e+10,3.07035000e+09,8.57385000e+08,3.27371250e+08,7.92712500e+07,1.63185944e+07,4.10182651e+06
53219.04166667,1.03917111,3.36671961,-0.51818543,2.08746240e+11,2.23478400e+11,4.60272000e+10,1.07233200e+10,3.12669000e+09,8.72520001e+08,3.33303750e+08,8.07206251e+07,1.65932819e+07,4.17917029e+06
53219.04236111,1.02323848,3.39068621,-0.50563222,2.12213760e+11,2.27264640e+11,4.68864000e+10,1.09285200e+10,3.18303000e+09,8.87655000e+08,3.39236250e+08,8.21700000e+07,1.68679694e+07,4.25651407e+06
53219.04305556,1.00718185,3.41424190,-0.49301780,2.15681280e+11,2.31050880e+11,4.77456001e+10,1.11337200e+10,3.23937000e+09,9.02790001e+08,3.45168750e+08,8.36193751e+07,1.71426570e+07,4.33385785e+06
53219.04375000,0.99100483,3.43738935,-0.48034436,2.19148800e+11,2.34837120e+11,4.86048000e+10,1.13389200e+10,3.29571000e+09,9.17925000e+08,3.51101250e+08,8.50687500e+07,1.74173444e+07,4.41120163e+06
53219.04444444,0.97471073,3.46013122,-0.46761426,2.22616320e+11,2.38623360e+11,4.94639999e+10,1.15441200e+10,3.35205000e+09,9.33059999e+08,3.57033750e+08,8.65181249e+07,1.76920319e+07,4.48854540e+06
53219.04513889,0.95830315,3.48246986,-0.45482970,2.26083840e+11,2.42409600e+11,5.03232000e+10,1.17493200e+10,3.40839000e+09,9.48195000e+08,3.62966250e+08,8.79675000e+07,1.79667194e+07,4.56588919e+06
53219.04583333,0.94178538,3.50440812,-0.44199272,2.29539840e+11,2.46205440e+11,5.11843200e+10,1.19539200e+10,3.46473000e+09,9.63224999e+08,3.68812500e+08,8.94009374e+07,1.82430476e+07,4.64434623e+06
53219.04652778,0.92516057,3.52594833,-0.42910551,2.32984320e+11,2.50010880e+11,5.20473600e+10,1.21579200e+10,3.52107000e+09,9.78150000e+08,3.74572500e+08,9.08184375e+07,1.85210164e+07,4.72391656e+06
53219.04722222,0.90843201,3.54709270,-0.41617011,2.36428800e+11,2.53816320e+11,5.29104000e+10,1.23619200e+10,3.57741000e+09,9.93074999e+08,3.80332500e+08,9.22359374e+07,1.87989851e+07,4.80348687e+06
53219.04791667,0.89160268,3.56784389,-0.40318872,2.39873280e+11,2.57621760e+11,5.37734400e+10,1.25659200e+10,3.63375000e+09,1.00800000e+09,3.86092500e+08,9.36534376e+07,1.90769539e+07,4.88305720e+06
53219.04861111,0.87467557,3.58820395,-0.39016292,2.43317760e+11,2.61427200e+11,5.46364800e+10,1.27699200e+10,3.69009000e+09,1.02292500e+09,3.91852500e+08,9.50709375e+07,1.93549227e+07,4.96262751e+06
53219.04930556,0.85765382,3.60817538,-0.37709505,2.46762240e+11,2.65232640e+11,5.54995201e+10,1.29739200e+10,3.74643000e+09,1.03785000e+09,3.97612500e+08,9.64884376e+07,1.96328915e+07,5.04219784e+06
53219.05000000,0.84054009,3.62776023,-0.36398653,2.50206720e+11,2.69038080e+11,5.63625600e+10,1.31779200e+10,3.80277000e+09,1.05277500e+09,4.03372500e+08,9.79059375e+07,1.99108602e+07,5.12176815e+06
53219.05069444,0.82333736,3.64696086,-0.35083956,2.53593600e+11,2.72797440e+11,5.72039999e+10,1.33756800e+10,3.85785000e+09,1.06722750e+09,4.08915000e+08,9.92756249e+07,2.01808603e+07,5.19811581e+06
53219.05138889,0.80604831,3.66577913,-0.33765586,2.56957440e+11,2.76554880e+11,5.80363200e+10,1.35705600e+10,3.91272000e+09,1.08150750e+09,4.14363750e+08,1.00632188e+08,2.04510947e+07,5.27393613e+06
53219.05208333,0.78867560,3.68421742,-0.32443715,2.60355840e+11,2.80356480e+11,5.88811200e+10,1.37688000e+10,3.96864000e+09,1.09608750e+09,4.19936250e+08,1.02023437e+08,2.07295321e+07,5.35245177e+06
53219.05277778,0.77122206,3.70227775,-0.31118502,2.63754240e+11,2.84158080e+11,5.97259200e+10,1.39670400e+10,4.02456000e+09,1.11066750e+09,4.25508750e+08,1.03414688e+08,2.10079697e+07,5.43096741e+06
53219.05347222,0.75369020,3.71996202,-0.29790134,2.67152640e+11,2.87959680e+11,6.05707200e+10,1.41652800e+10,4.08048000e+09,1.12524750e+09,4.31081250e+08,1.04805937e+08,2.12864072e+07,5.50948305e+06
53219.05416667,0.73608253,3.73727210,-0.28458768,2.70551040e+11,2.91761280e+11,6.14155200e+10,1.43635200e+10,4.13640000e+09,1.13982750e+09,4.36653750e+08,1.06197188e+08,2.15648447e+07,5.58799869e+06
53219.05486111,0.71840156,3.75421020,-0.27124576,2.73949440e+11,2.95562880e+11,6.22603200e+10,1.45617600e+10,4.19232000e+09,1.15440750e+09,4.42226250e+08,1.07588437e+08,2.18432822e+07,5.66651433e+06
53219.05555556,0.70064980,3.77077788,-0.25787701,2.77347840e+11,2.99364480e+11,6.31051200e+10,1.47600000e+10,4.24824000e+09,1.16898750e+09,4.47798750e+08,1.08979688e+08,2.21217197e+07,5.74502997e+06
53219.05625000,0.68282945,3.78697734,-0.24448299,2.80746240e+11,3.03166080e+11,6.39499200e+10,1.49582400e+10,4.30416000e+09,1.18356750e+09,4.53371250e+08,1.10370937e+08,2.24001572e+07,5.82354561e+06
53219.05694444,0.66494302,3.80280999,-0.23106542,2.84150400e+11,3.06963840e+11,6.47870399e+10,1.51526400e+10,4.35873000e+09,1.19785500e+09,4.58838750e+08,1.11756562e+08,2.26769540e+07,5.89995185e+06
53219.05763889,0.64699287,3.81827803,-0.21762557,2.87560320e+11,3.10757760e+11,6.56164800e+10,1.53432000e+10,4.41195000e+09,1.21185000e+09,4.64201250e+08,1.13136563e+08,2.29521103e+07,5.97424872e+06
53219.05833333,0.62898120,3.83338288,-0.20416515,2.90970240e+11,3.14551680e+11,6.64459200e+10,1.55337600e+10,4.46517000e+09,1.22584500e+09,4.69563750e+08,1.14516562e+08,2.32272666e+07,6.04854557e+06
53219.05902778,0.61091019,3.84812641,-0.19068527,2.94380160e+11,3.18345600e+11,6.72753600e+10,1.57243200e+10,4.51839000e+09,1.23984000e+09,4.74926250e+08,1.15896563e+08,2.35024229e+07,6.12284244e+06
53219.05972222,0.59278205,3.86251020,-0.17718781,2.97790080e+11,3.22139520e+11,6.81048000e+10,1.59148800e+10,4.57161000e+09,1.25383500e+09,4.80288750e+08,1.17276562e+08,2.37775792e+07,6.19713930e+06
53219.06041667,0.57459898,3.87653597,-0.16367372,3.01200000e+11,3.25933440e+11,6.89342400e+10,1.61054400e+10,4.62483000e+09,1.26783000e+09,4.85651250e+08,1.18656563e+08,2.40527355e+07,6.27143616e+06
53219.06111111,0.55636317,3.89020514,-0.15014471,3.04609920e+11,3.29727360e+11,6.97636800e+10,1.62960000e+10,4.67805000e+09,1.28182500e+09,4.91013750e+08,1.20036562e+08,2.43278917e+07,6.34573302e+06
53219.06180556,0.53807650,3.90351943,-0.13660190,3.08019840e+11,3.33521280e+11,7.05931200e+10,1.64865600e+10,4.73127000e+09,1.29582000e+09,4.96376250e+08,1.21416563e+08,2.46030480e+07,6.42002988e+06
53219.06250000,0.51974102,3.91648041,-0.12304668,3.11429760e+11,3.37315200e+11,7.14225600e+10,1.66771200e+10,4.78449000e+09,1.30981500e+09,5.01738750e+08,1.22796562e+08,2.48782043e+07,6.49432674e+06
53219.06319444,0.50135893,3.92908934,-0.10948047,3.14839680e+11,3.41109120e+11,7.22519999e+10,1.68676800e+10,4.83771000e+09,1.32381000e+09,5.07101250e+08,1.24176562e+08,2.51533605e+07,6.56862360e+06
53219.06388889,0.48293210,3.94134794,-0.09590454,3.18243840e+11,3.44893440e+11,7.30824000e+10,1.70542800e+10,4.88958000e+09,1.33737000e+09,5.12358750e+08,1.25547188e+08,2.54257043e+07,6.63975642e+06
53219.06458333,0.46446258,3.95325747,-0.08232013,3.21642240e+11,3.48668160e+11,7.39137600e+10,1.72369200e+10,4.94010000e+09,1.35049500e+09,5.17511250e+08,1.26908437e+08,2.56952356e+07,6.70772520e+06
53219.06527778,0.44595210,3.96481934,-0.06872834,3.25040640e+11,3.52442880e+11,7.47451200e+10,1.74195600e+10,4.99062000e+09,1.36362000e+09,5.22663750e+08,1.28269688e+08,2.59647669e+07,6.77569398e+06
53219.06597222,0.42740284,3.97603497,-0.05513059,3.28439040e+11,3.56217600e+11,7.55764800e+10,1.76022000e+10,5.04114000e+09,1.37674500e+09,5.27816250e+08,1.29630937e+08,2.62342982e+07,6.84366275e+06
