# Irene Model output file: ../../unitTests/Legacy/CRRquiet_atEpoch_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.03819444,1.11684235,3.24062626,-0.57994601,9.60435190e+07,6.57857771e+07,2.03368792e+07,4.21501999e+06,1.22262530e+06,3.52925496e+05,1.09352706e+05,2.87646289e+04,6.76944606e+03,1.32474372e+03
53219.03888889,1.10158683,3.26668916,-0.56773638,1.00252461e+08,6.82357815e+07,2.09489149e+07,4.33449304e+06,1.25631709e+06,3.62066509e+05,1.11803779e+05,2.93531570e+04,6.89252406e+03,1.35899772e+03
53219.03958333,1.08618785,3.29232703,-0.55545298,1.04516847e+08,7.07206986e+07,2.15711133e+07,4.45620713e+06,1.29070305e+06,3.71415366e+05,1.14316945e+05,2.99583650e+04,7.01968355e+03,1.39448922e+03
53219.04027778,1.07064964,3.31754285,-0.54309832,1.08836678e+08,7.32405290e+07,2.22034747e+07,4.58016227e+06,1.32578319e+06,3.80972070e+05,1.16892205e+05,3.05802531e+04,7.15092457e+03,1.43121822e+03
53219.04097222,1.05497614,3.34233943,-0.53067491,1.13700972e+08,7.59946986e+07,2.28554882e+07,4.70656643e+06,1.36100376e+06,3.90417253e+05,1.19419664e+05,3.11865725e+04,7.27909581e+03,1.46789772e+03
53219.04166667,1.03917111,3.36671961,-0.51818543,1.19109732e+08,7.89832083e+07,2.35271540e+07,4.83541963e+06,1.39636477e+06,3.99750916e+05,1.21899323e+05,3.17773236e+04,7.40419732e+03,1.50452772e+03
53219.04236111,1.02323848,3.39068621,-0.50563222,1.24518492e+08,8.19717175e+07,2.41988196e+07,4.96427282e+06,1.43172577e+06,4.09084578e+05,1.24378982e+05,3.23680746e+04,7.52929881e+03,1.54115772e+03
53219.04305556,1.00718185,3.41424190,-0.49301780,1.29927252e+08,8.49602272e+07,2.48704854e+07,5.09312602e+06,1.46708677e+06,4.18418242e+05,1.26858641e+05,3.29588256e+04,7.65440031e+03,1.57778772e+03
53219.04375000,0.99100483,3.43738935,-0.48034436,1.35336011e+08,8.79487365e+07,2.55421511e+07,5.22197920e+06,1.50244777e+06,4.27751904e+05,1.29338300e+05,3.35495766e+04,7.77950180e+03,1.61441772e+03
53219.04444444,0.97471073,3.46013122,-0.46761426,1.40744771e+08,9.09372457e+07,2.62138167e+07,5.35083239e+06,1.53780877e+06,4.37085566e+05,1.31817958e+05,3.41403275e+04,7.90460329e+03,1.65104772e+03
53219.04513889,0.95830315,3.48246986,-0.45482970,1.46153531e+08,9.39257554e+07,2.68854825e+07,5.47968559e+06,1.57316978e+06,4.46419229e+05,1.34297617e+05,3.47310786e+04,8.02970480e+03,1.68767772e+03
53219.04583333,0.94178538,3.50440812,-0.44199272,1.52261989e+08,9.72016509e+07,2.76097375e+07,5.61772191e+06,1.60949907e+06,4.55921376e+05,1.36797081e+05,3.53255241e+04,8.15845504e+03,1.72574322e+03
53219.04652778,0.92516057,3.52594833,-0.42910551,1.59070147e+08,1.00764933e+08,2.83865821e+07,5.76494138e+06,1.64679666e+06,4.65592009e+05,1.39316349e+05,3.59236642e+04,8.29085406e+03,1.76524422e+03
53219.04722222,0.90843201,3.54709270,-0.41617011,1.65878303e+08,1.04328215e+08,2.91634265e+07,5.91216082e+06,1.68409424e+06,4.75262641e+05,1.41835617e+05,3.65218042e+04,8.42325306e+03,1.80474522e+03
53219.04791667,0.89160268,3.56784389,-0.40318872,1.72686461e+08,1.07891497e+08,2.99402710e+07,6.05938029e+06,1.72139183e+06,4.84933274e+05,1.44354885e+05,3.71199443e+04,8.55565207e+03,1.84424622e+03
53219.04861111,0.87467557,3.58820395,-0.39016292,1.79494617e+08,1.11454778e+08,3.07171154e+07,6.20659974e+06,1.75868942e+06,4.94603905e+05,1.46874154e+05,3.77180843e+04,8.68805107e+03,1.88374722e+03
53219.04930556,0.85765382,3.60817538,-0.37709505,1.86302775e+08,1.15018061e+08,3.14939599e+07,6.35381921e+06,1.79598701e+06,5.04274538e+05,1.49393422e+05,3.83162244e+04,8.82045009e+03,1.92324822e+03
53219.05000000,0.84054009,3.62776023,-0.36398653,1.93110932e+08,1.18581342e+08,3.22708044e+07,6.50103866e+06,1.83328459e+06,5.13945170e+05,1.51912690e+05,3.89143644e+04,8.95284909e+03,1.96274922e+03
53219.05069444,0.82333736,3.64696086,-0.35083956,2.00729702e+08,1.22439800e+08,3.30793872e+07,6.64990279e+06,1.87065654e+06,5.23543684e+05,1.54397191e+05,3.95037233e+04,9.08379233e+03,2.00207697e+03
53219.05138889,0.80604831,3.66577913,-0.33765586,2.09263790e+08,1.26650512e+08,3.39333809e+07,6.80320892e+06,1.90887281e+06,5.33286319e+05,1.56908619e+05,4.01009529e+04,9.21775583e+03,2.04269172e+03
53219.05208333,0.78867560,3.68421742,-0.32443715,2.17902581e+08,1.30918303e+08,3.48010468e+07,6.95931233e+06,1.94785903e+06,5.43245188e+05,1.59481739e+05,4.07148339e+04,9.35619532e+03,2.08476672e+03
53219.05277778,0.77122206,3.70227775,-0.31118502,2.26541373e+08,1.35186094e+08,3.56687128e+07,7.11541576e+06,1.98684525e+06,5.53204058e+05,1.62054861e+05,4.13287150e+04,9.49463482e+03,2.12684172e+03
53219.05347222,0.75369020,3.71996202,-0.29790134,2.35180164e+08,1.39453884e+08,3.65363786e+07,7.27151917e+06,2.02583147e+06,5.63162927e+05,1.64627982e+05,4.19425960e+04,9.63307431e+03,2.16891672e+03
53219.05416667,0.73608253,3.73727210,-0.28458768,2.43818956e+08,1.43721675e+08,3.74040446e+07,7.42762261e+06,2.06481769e+06,5.73121797e+05,1.67201103e+05,4.25564771e+04,9.77151381e+03,2.21099172e+03
53219.05486111,0.71840156,3.75421020,-0.27124576,2.52457747e+08,1.47989465e+08,3.82717105e+07,7.58372602e+06,2.10380391e+06,5.83080666e+05,1.69774224e+05,4.31703581e+04,9.90995330e+03,2.25306671e+03
53219.05555556,0.70064980,3.77077788,-0.25787701,2.61096539e+08,1.52257256e+08,3.91393765e+07,7.73982945e+06,2.14279013e+06,5.93039537e+05,1.72347345e+05,4.37842391e+04,1.00483928e+04,2.29514172e+03
53219.05625000,0.68282945,3.78697734,-0.24448299,2.69735330e+08,1.56525047e+08,4.00070423e+07,7.89593286e+06,2.18177635e+06,6.02998406e+05,1.74920466e+05,4.43981201e+04,1.01868323e+04,2.33721671e+03
53219.05694444,0.66494302,3.80280999,-0.23106542,2.79439332e+08,1.61188298e+08,4.09071688e+07,8.05534064e+06,2.22143022e+06,6.13062427e+05,1.77507918e+05,4.50160781e+04,1.03276425e+04,2.38035596e+03
