# Irene Model output file: ../../unitTests/Legacy/CRRactive_atEpoch_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.05555556,0.70064980,3.77077788,-0.25787701,1.88902621e+11,1.02946190e+11,2.25641286e+10,5.41347713e+09,1.61182904e+09,5.28383521e+08,2.05026265e+08,7.18746375e+07,1.88810308e+07,4.73964969e+06
53219.05625000,0.68282945,3.78697734,-0.24448299,1.91308705e+11,1.04282354e+11,2.28654129e+10,5.48503335e+09,1.63255326e+09,5.35007744e+08,2.07619988e+08,7.27973602e+07,1.91289175e+07,4.80442509e+06
53219.05694444,0.66494302,3.80280999,-0.23106542,1.93708081e+11,1.05611281e+11,2.31627247e+10,5.55511320e+09,1.65283911e+09,5.41522091e+08,2.10183335e+08,7.37129578e+07,1.93726265e+07,4.86746024e+06
53219.05763889,0.64699287,3.81827803,-0.21762557,1.96100748e+11,1.06932973e+11,2.34560642e+10,5.62371668e+09,1.67268658e+09,5.47926564e+08,2.12716308e+08,7.46214305e+07,1.96121577e+07,4.92875515e+06
53219.05833333,0.62898120,3.83338288,-0.20416515,1.98493416e+11,1.08254664e+11,2.37494036e+10,5.69232014e+09,1.69253405e+09,5.54331036e+08,2.15249280e+08,7.55299031e+07,1.98516889e+07,4.99005005e+06
53219.05902778,0.61091019,3.84812641,-0.19068527,2.00886084e+11,1.09576356e+11,2.40427431e+10,5.76092362e+09,1.71238153e+09,5.60735510e+08,2.17782253e+08,7.64383758e+07,2.00912202e+07,5.05134496e+06
53219.05972222,0.59278205,3.86251020,-0.17718781,2.03278751e+11,1.10898047e+11,2.43360826e+10,5.82952709e+09,1.73222900e+09,5.67139982e+08,2.20315226e+08,7.73468483e+07,2.03307514e+07,5.11263986e+06
53219.06041667,0.57459898,3.87653597,-0.16367372,2.05671419e+11,1.12219739e+11,2.46294221e+10,5.89813057e+09,1.75207648e+09,5.73544455e+08,2.22848198e+08,7.82553210e+07,2.05702827e+07,5.17393478e+06
53219.06111111,0.55636317,3.89020514,-0.15014471,2.08064086e+11,1.13541430e+11,2.49227615e+10,5.96673404e+09,1.77192395e+09,5.79948927e+08,2.25381171e+08,7.91637936e+07,2.08098139e+07,5.23522968e+06
53219.06180556,0.53807650,3.90351943,-0.13660190,2.10456754e+11,1.14863122e+11,2.52161010e+10,6.03533752e+09,1.79177142e+09,5.86353400e+08,2.27914144e+08,8.00722663e+07,2.10493452e+07,5.29652459e+06
53219.06250000,0.51974102,3.91648041,-0.12304668,2.12849421e+11,1.16184813e+11,2.55094405e+10,6.10394099e+09,1.81161890e+09,5.92757873e+08,2.30447116e+08,8.09807389e+07,2.12888764e+07,5.35781949e+06
53219.06319444,0.50135893,3.92908934,-0.10948047,2.15242089e+11,1.17506505e+11,2.58027799e+10,6.17254446e+09,1.83146637e+09,5.99162345e+08,2.32980088e+08,8.18892115e+07,2.15284076e+07,5.41911439e+06
53219.06388889,0.48293210,3.94134794,-0.09590454,2.17628801e+11,1.18824449e+11,2.60939803e+10,6.23958483e+09,1.85081273e+09,6.05422707e+08,2.35476950e+08,8.27863229e+07,2.17615229e+07,5.47779897e+06
53219.06458333,0.46446258,3.95325747,-0.08232013,2.20009559e+11,1.20138646e+11,2.63830416e+10,6.30506207e+09,1.86965798e+09,6.11538956e+08,2.37937700e+08,8.36720729e+07,2.19882221e+07,5.53387321e+06
53219.06527778,0.44595210,3.96481934,-0.06872834,2.22390316e+11,1.21452844e+11,2.66721028e+10,6.37053933e+09,1.88850324e+09,6.17655207e+08,2.40398450e+08,8.45578230e+07,2.22149214e+07,5.58994745e+06
53219.06597222,0.42740284,3.97603497,-0.05513059,2.24771073e+11,1.22767041e+11,2.69611641e+10,6.43601657e+09,1.90734849e+09,6.23771456e+08,2.42859200e+08,8.54435730e+07,2.24416207e+07,5.64602169e+06
53219.06666667,0.40881639,3.98690561,-0.04152813,2.27151831e+11,1.24081238e+11,2.72502253e+10,6.50149383e+09,1.92619374e+09,6.29887707e+08,2.45319950e+08,8.63293231e+07,2.26683200e+07,5.70209593e+06
53219.06736111,0.39019463,3.99743267,-0.02792206,2.29532588e+11,1.25395435e+11,2.75392866e+10,6.56697107e+09,1.94503899e+09,6.36003957e+08,2.47780700e+08,8.72150731e+07,2.28950192e+07,5.75817017e+06
53219.06805556,0.37153958,4.00761756,-0.01431347,2.31913346e+11,1.26709633e+11,2.78283478e+10,6.63244832e+09,1.96388424e+09,6.42120207e+08,2.50241450e+08,8.81008232e+07,2.31217185e+07,5.81424441e+06
53219.06875000,0.35285284,4.01746123,-0.00070379,2.34294103e+11,1.28023830e+11,2.81174091e+10,6.69792557e+09,1.98272949e+09,6.48236457e+08,2.52702200e+08,8.89865732e+07,2.33484178e+07,5.87031865e+06
53219.06944444,0.33413627,4.02696494,0.01290589,2.36674860e+11,1.29338027e+11,2.84064703e+10,6.76340281e+09,2.00157474e+09,6.54352706e+08,2.55162950e+08,8.98723232e+07,2.35751171e+07,5.92639289e+06
53219.07013889,0.31539161,4.03613009,0.02651463,2.39075636e+11,1.30664371e+11,2.86987264e+10,6.82969885e+09,2.02068079e+09,6.60566246e+08,2.57666989e+08,9.07751123e+07,2.38068144e+07,5.98382064e+06
53219.07083333,0.29662042,4.04495762,0.04012101,2.41496431e+11,1.32002862e+11,2.89941771e+10,6.89681368e+09,2.04004761e+09,6.66877074e+08,2.60214318e+08,9.16949404e+07,2.40435097e+07,6.04260189e+06
53219.07152778,0.27782474,4.05344880,0.05372426,2.43917226e+11,1.33341353e+11,2.92896280e+10,6.96392851e+09,2.05941444e+09,6.73187903e+08,2.62761646e+08,9.26147687e+07,2.42802050e+07,6.10138314e+06
53219.07222222,0.25900600,4.06160488,0.06732295,2.46338021e+11,1.34679843e+11,2.95850788e+10,7.03104333e+09,2.07878127e+09,6.79498731e+08,2.65308974e+08,9.35345968e+07,2.45169003e+07,6.16016439e+06
53219.07291667,0.24016606,4.06942648,0.08091600,2.48758816e+11,1.36018334e+11,2.98805296e+10,7.09815816e+09,2.09814810e+09,6.85809560e+08,2.67856303e+08,9.44544250e+07,2.47535957e+07,6.21894564e+06
53219.07361111,0.22130635,4.07691502,0.09450261,2.51179611e+11,1.37356825e+11,3.01759804e+10,7.16527299e+09,2.11751493e+09,6.92120388e+08,2.70403631e+08,9.53742531e+07,2.49902910e+07,6.27772689e+06
53219.07430556,0.20242858,4.08407160,0.10808137,2.53584135e+11,1.38687397e+11,3.04699559e+10,7.23104445e+09,2.13625839e+09,6.98197843e+08,2.72876586e+08,9.62658333e+07,2.52158476e+07,6.33293100e+06
