# Irene Model output file: ../../unitTests/Legacy/CRRactive_NatEpoch_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.02986111,1.28707747,2.89356762,-0.71961671,9.63779565e+10,5.17888366e+10,1.09790204e+10,2.63059663e+09,7.95244599e+08,2.59410074e+08,9.88755769e+07,3.43617004e+07,8.97332676e+06,2.19141413e+06
53219.03055556,1.27390601,2.92498195,-0.70853199,9.86769448e+10,5.30538088e+10,1.12648166e+10,2.69964880e+09,8.15468767e+08,2.65996240e+08,1.01408743e+08,3.52238665e+07,9.18652011e+06,2.24352447e+06
53219.03125000,1.26053177,2.95593122,-0.69733473,1.01024062e+11,5.43477104e+10,1.15583982e+10,2.77084645e+09,8.36392412e+08,2.72837886e+08,1.04051139e+08,3.61273879e+07,9.41186579e+06,2.29892192e+06
53219.03194444,1.24696101,2.98641920,-0.68602853,1.03419309e+11,5.56705414e+10,1.18597653e+10,2.84418958e+09,8.58015539e+08,2.79935013e+08,1.06802766e+08,3.70722649e+07,9.64936384e+06,2.35760649e+06
53219.03263889,1.23319893,3.01644949,-0.67461718,1.05814557e+11,5.69933727e+10,1.21611324e+10,2.91753271e+09,8.79638669e+08,2.87032141e+08,1.09554394e+08,3.80171420e+07,9.88686192e+06,2.41629107e+06
53219.03333333,1.21925132,3.04602571,-0.66310412,1.08209803e+11,5.83162037e+10,1.24624995e+10,2.99087584e+09,9.01261795e+08,2.94129268e+08,1.12306020e+08,3.89620190e+07,1.01243600e+07,2.47497565e+06
53219.03402778,1.20512321,3.07515099,-0.65149297,1.10578192e+11,5.96240798e+10,1.27602395e+10,3.06282381e+09,9.22281766e+08,3.01011737e+08,1.14977990e+08,3.98774878e+07,1.03535787e+07,2.53221003e+06
53219.03472222,1.19081978,3.10382911,-0.63978701,1.12919720e+11,6.09170005e+10,1.30543523e+10,3.13337662e+09,9.42698576e+08,3.07679548e+08,1.17570300e+08,4.07635483e+07,1.05745182e+07,2.58799419e+06
53219.03541667,1.17634606,3.13206335,-0.62798955,1.15261249e+11,6.22099214e+10,1.33484651e+10,3.20392945e+09,9.63115389e+08,3.14347359e+08,1.20162611e+08,4.16496089e+07,1.07954577e+07,2.64377837e+06
53219.03611111,1.16170690,3.15985701,-0.61610356,1.17642476e+11,6.35267005e+10,1.36490724e+10,3.27626073e+09,9.84098673e+08,3.21223145e+08,1.22844397e+08,4.25696450e+07,1.10263902e+07,2.70231790e+06
53219.03680556,1.14690686,3.18721324,-0.60413250,1.20063402e+11,6.48673384e+10,1.39561741e+10,3.35037050e+09,1.00564844e+09,3.28306908e+08,1.25615659e+08,4.35236567e+07,1.12673160e+07,2.76361282e+06
53219.03750000,1.13195050,3.21413533,-0.59207889,1.22484328e+11,6.62079761e+10,1.42632759e+10,3.42448026e+09,1.02719820e+09,3.35390669e+08,1.28386920e+08,4.44776684e+07,1.15082418e+07,2.82490772e+06
53219.03819444,1.11684235,3.24062626,-0.57994601,1.24905253e+11,6.75486138e+10,1.45703776e+10,3.49859002e+09,1.04874796e+09,3.42474430e+08,1.31158182e+08,4.54316800e+07,1.17491675e+07,2.88620262e+06
53219.03888889,1.10158683,3.26668916,-0.56773638,1.27296787e+11,6.88724350e+10,1.48727708e+10,3.57105113e+09,1.06970506e+09,3.49322534e+08,1.33831035e+08,4.63536586e+07,1.19842691e+07,2.94662742e+06
53219.03958333,1.08618785,3.29232703,-0.55545298,1.29658927e+11,7.01794395e+10,1.51704552e+10,3.64186356e+09,1.09006951e+09,3.55934979e+08,1.36405480e+08,4.72436039e+07,1.22135465e+07,3.00618210e+06
53219.04027778,1.07064964,3.31754285,-0.54309832,1.32021068e+11,7.14864440e+10,1.54681396e+10,3.71267601e+09,1.11043396e+09,3.62547425e+08,1.38979926e+08,4.81335493e+07,1.24428238e+07,3.06573679e+06
53219.04097222,1.05497614,3.34233943,-0.53067491,1.34383208e+11,7.27934485e+10,1.57658241e+10,3.78348845e+09,1.13079840e+09,3.69159870e+08,1.41554371e+08,4.90234946e+07,1.26721012e+07,3.12529147e+06
53219.04166667,1.03917111,3.36671961,-0.51818543,1.36776512e+11,7.41191366e+10,1.60686081e+10,3.85565648e+09,1.15158843e+09,3.75926394e+08,1.44195145e+08,4.99388931e+07,1.29089196e+07,3.18697313e+06
53219.04236111,1.02323848,3.39068621,-0.50563222,1.39200980e+11,7.54635081e+10,1.63764917e+10,3.92918007e+09,1.17280403e+09,3.82846995e+08,1.46902246e+08,5.08797447e+07,1.31532790e+07,3.25078174e+06
53219.04305556,1.00718185,3.41424190,-0.49301780,1.41625447e+11,7.68078798e+10,1.66843753e+10,4.00270368e+09,1.19401963e+09,3.89767597e+08,1.49609348e+08,5.18205964e+07,1.33976385e+07,3.31459036e+06
53219.04375000,0.99100483,3.43738935,-0.48034436,1.44015159e+11,7.81326637e+10,1.69864113e+10,4.07444767e+09,1.21464363e+09,3.96441598e+08,1.52210849e+08,5.27274724e+07,1.36350340e+07,3.37661039e+06
53219.04444444,0.97471073,3.46013122,-0.46761426,1.46370116e+11,7.94378601e+10,1.72825997e+10,4.14441207e+09,1.23467603e+09,4.02868998e+08,1.54706750e+08,5.36003727e+07,1.38654656e+07,3.43684184e+06
53219.04513889,0.95830315,3.48246986,-0.45482970,1.48725072e+11,8.07430566e+10,1.75787881e+10,4.21437648e+09,1.25470843e+09,4.09296399e+08,1.57202650e+08,5.44732732e+07,1.40958973e+07,3.49707329e+06
53219.04583333,0.94178538,3.50440812,-0.44199272,1.51080028e+11,8.20482529e+10,1.78749765e+10,4.28434088e+09,1.27474083e+09,4.15723800e+08,1.59698551e+08,5.53461735e+07,1.43263289e+07,3.55730474e+06
53219.04652778,0.92516057,3.52594833,-0.42910551,1.53434985e+11,8.33534494e+10,1.81711649e+10,4.35430528e+09,1.29477323e+09,4.22151201e+08,1.62194452e+08,5.62190740e+07,1.45567606e+07,3.61753619e+06
53219.04722222,0.90843201,3.54709270,-0.41617011,1.55826531e+11,8.46808833e+10,1.84733068e+10,4.42584326e+09,1.31531121e+09,4.28760183e+08,1.64769184e+08,5.71228063e+07,1.47966903e+07,3.68047467e+06
53219.04791667,0.89160268,3.56784389,-0.40318872,1.58254667e+11,8.60305549e+10,1.87814024e+10,4.49895484e+09,1.33635478e+09,4.35550748e+08,1.67422749e+08,5.80573709e+07,1.50461181e+07,3.74612019e+06
53219.04861111,0.87467557,3.58820395,-0.39016292,1.60642540e+11,8.73558041e+10,1.90813116e+10,4.56998806e+09,1.35682000e+09,4.42109472e+08,1.69982472e+08,5.89607195e+07,1.52868417e+07,3.80910700e+06
53219.04930556,0.85765382,3.60817538,-0.37709505,1.62990151e+11,8.86566311e+10,1.93730345e+10,4.63894295e+09,1.37670689e+09,4.48436355e+08,1.72448355e+08,5.98328524e+07,1.55188613e+07,3.86943513e+06
53219.05000000,0.84054009,3.62776023,-0.36398653,1.65337761e+11,8.99574580e+10,1.96647573e+10,4.70789783e+09,1.39659377e+09,4.54763238e+08,1.74914238e+08,6.07049852e+07,1.57508808e+07,3.92976325e+06
53219.05069444,0.82333736,3.64696086,-0.35083956,1.67685372e+11,9.12582849e+10,1.99564802e+10,4.77685270e+09,1.41648065e+09,4.61090121e+08,1.77380120e+08,6.15771180e+07,1.59829003e+07,3.99009137e+06
53219.05138889,0.80604831,3.66577913,-0.33765586,1.70032983e+11,9.25591119e+10,2.02482031e+10,4.84580759e+09,1.43636754e+09,4.67417004e+08,1.79846003e+08,6.24492509e+07,1.62149199e+07,4.05041950e+06
53219.05208333,0.78867560,3.68421742,-0.32443715,1.72380594e+11,9.38599388e+10,2.05399259e+10,4.91476247e+09,1.45625442e+09,4.73743887e+08,1.82311886e+08,6.33213836e+07,1.64469394e+07,4.11074762e+06
53219.05277778,0.77122206,3.70227775,-0.31118502,1.74757441e+11,9.51784345e+10,2.08364295e+10,4.98501803e+09,1.47655998e+09,4.80219441e+08,1.84841689e+08,6.42188115e+07,1.66868926e+07,4.17329939e+06
53219.05347222,0.75369020,3.71996202,-0.29790134,1.77163525e+11,9.65145987e+10,2.11377137e+10,5.05657425e+09,1.49728420e+09,4.86843663e+08,1.87435411e+08,6.51415341e+07,1.69347793e+07,4.23807479e+06
53219.05416667,0.73608253,3.73727210,-0.28458768,1.79569610e+11,9.78507630e+10,2.14389980e+10,5.12813048e+09,1.51800842e+09,4.93467887e+08,1.90029134e+08,6.60642569e+07,1.71826661e+07,4.30285020e+06
53219.05486111,0.71840156,3.75421020,-0.27124576,1.81943713e+11,9.91645939e+10,2.17323249e+10,5.19715342e+09,1.53795736e+09,4.99861329e+08,1.92539827e+08,6.69590743e+07,1.74200089e+07,4.36409679e+06
53219.05555556,0.70064980,3.77077788,-0.25787701,1.84285835e+11,1.00456092e+11,2.20176946e+10,5.26364309e+09,1.55713103e+09,5.06023992e+08,1.94967489e+08,6.78259865e+07,1.76468078e+07,4.42181459e+06
53219.05625000,0.68282945,3.78697734,-0.24448299,1.86627956e+11,1.01747589e+11,2.23030642e+10,5.33013274e+09,1.57630469e+09,5.12186654e+08,1.97395151e+08,6.86928986e+07,1.78736067e+07,4.47953237e+06
53219.05694444,0.66494302,3.80280999,-0.23106542,1.88970078e+11,1.03039087e+11,2.25884339e+10,5.39662240e+09,1.59547835e+09,5.18349315e+08,1.99822813e+08,6.95598107e+07,1.81004055e+07,4.53725016e+06
