# Legacy Model output file: ../../unitTests/Legacy/CRRquiet_NatEpoch_Intg.CRRESELE.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.53750000,1.01518678,3.40094755,-0.48452442,3.76185150e+04,2.77622643e+04,9.41460800e+03,2.09663939e+03,6.22811079e+02,1.82772055e+02,5.96276559e+01,1.64148510e+01,4.25982522e+00,9.10800009e-01
53219.53819444,0.99906423,3.42430625,-0.47178255,4.26456604e+04,2.99097233e+04,9.88628578e+03,2.22534823e+03,6.51910663e+02,1.88629299e+02,5.92347011e+01,1.59243010e+01,3.86237493e+00,9.05024935e-01
53219.53888889,0.98282255,3.44725703,-0.45898465,4.26456604e+04,2.99097233e+04,9.88628578e+03,2.22534823e+03,6.51910663e+02,1.88629299e+02,5.92347011e+01,1.59243010e+01,3.86237493e+00,9.05024935e-01
53219.53958333,0.96646519,3.46980239,-0.44613260,4.26456604e+04,2.99097233e+04,9.88628578e+03,2.22534823e+03,6.51910663e+02,1.88629299e+02,5.92347011e+01,1.59243010e+01,3.86237493e+00,9.05024935e-01
53219.54027778,0.94999576,3.49194516,-0.43322875,5.43631401e+04,3.61475143e+04,1.07029829e+04,2.29126430e+03,6.77201748e+02,1.93607956e+02,5.81099540e+01,1.51289515e+01,3.55115021e+00,9.00075014e-01
53219.54097222,0.93341741,3.51368753,-0.42027530,5.38411369e+04,3.57692642e+04,1.05716066e+04,2.25988770e+03,6.66918933e+02,1.90356508e+02,5.70069030e+01,1.48073006e+01,3.46420007e+00,8.76150036e-01
53219.54166667,0.91673343,3.53503233,-0.40727414,6.53527908e+04,4.11340408e+04,1.14434137e+04,2.31060171e+03,6.91851497e+02,1.95562303e+02,5.59627004e+01,1.41292997e+01,3.20647494e+00,8.72024975e-01
53219.54236111,0.89994695,3.55598160,-0.39422762,6.53527908e+04,4.11340408e+04,1.14434137e+04,2.31060171e+03,6.91851497e+02,1.95562303e+02,5.59627004e+01,1.41292997e+01,3.20647494e+00,8.72024975e-01
53219.54305556,0.88306096,3.57653801,-0.38113731,6.53527908e+04,4.11340408e+04,1.14434137e+04,2.31060171e+03,6.91851497e+02,1.95562303e+02,5.59627004e+01,1.41292997e+01,3.20647494e+00,8.72024975e-01
53219.54375000,0.86607845,3.59670360,-0.36800540,8.16675262e+04,4.81519012e+04,1.23378391e+04,2.47221398e+03,7.12057471e+02,1.97994843e+02,5.45866527e+01,1.36076501e+01,3.02774995e+00,8.68724950e-01
53219.54444444,0.84900254,3.61648088,-0.35483378,8.16675262e+04,4.81519012e+04,1.23378391e+04,2.47221398e+03,7.12057471e+02,1.97994843e+02,5.45866527e+01,1.36076501e+01,3.02774995e+00,8.68724950e-01
53219.54513889,0.83183576,3.63587189,-0.34162434,8.16675262e+04,4.81519012e+04,1.23378391e+04,2.47221398e+03,7.12057471e+02,1.97994843e+02,5.45866527e+01,1.36076501e+01,3.02774995e+00,8.68724950e-01
53219.54583333,0.81458124,3.65487899,-0.32837864,1.02028679e+05,5.69974289e+04,1.31052389e+04,2.56930161e+03,7.17739046e+02,1.93520248e+02,5.26022501e+01,1.29416501e+01,2.88684992e+00,8.65424925e-01
