# Legacy Model output file: ../../unitTests/Legacy/CRRactive_NatEpochSa_Intg.CRRESPRO.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESPRO
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Active
# Energy levels (MeV):       1.5 2.1 2.5 2.9 3.6 4.3 5.7 6.8 8.5 9.7 10.7 13.2 16.9 19.4 26.3 30.9 36.3 41.1 47 55 65.7 81.3
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.02222222,1.41673201,2.51619773,-0.83287968,3.30651406e+04,3.09014648e+03,1.00209967e+03,2.60077942e+02,7.36493073e+01,7.36493073e+01,7.28142786e+00,6.95159626e+00,1.13284802e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02291667,1.40623164,2.55298955,-0.82332732,3.30651406e+04,3.09014648e+03,1.00209967e+03,2.60077942e+02,7.36493073e+01,7.36493073e+01,7.28142786e+00,6.95159626e+00,1.13284802e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02361111,1.39545046,2.58927141,-0.81361047,3.30651406e+04,3.09014648e+03,1.00209967e+03,2.60077942e+02,7.36493073e+01,7.36493073e+01,7.28142786e+00,6.95159626e+00,1.13284802e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02430556,1.38439666,2.62504771,-0.80373478,3.30651406e+04,3.09014648e+03,1.00209967e+03,2.60077942e+02,7.36493073e+01,7.36493073e+01,7.28142786e+00,6.95159626e+00,1.13284802e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02500000,1.37307870,2.66032286,-0.79370542,2.61029922e+04,2.33770532e+03,7.50264526e+02,2.10310349e+02,5.62606239e+01,5.62606239e+01,6.12306452e+00,6.12306452e+00,1.13051999e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02569444,1.36150411,2.69510108,-0.78352791,2.61029922e+04,2.33770532e+03,7.50264526e+02,2.10310349e+02,5.62606239e+01,5.62606239e+01,6.12306452e+00,6.12306452e+00,1.13051999e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02638889,1.34968075,2.72938677,-0.77320693,3.14612168e+04,2.73036768e+03,8.74995178e+02,2.40987640e+02,6.59396286e+01,6.59396286e+01,6.97189903e+00,6.97189903e+00,1.32381439e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02708333,1.33761568,2.76318386,-0.76274752,3.14612168e+04,2.73036768e+03,8.74995178e+02,2.40987640e+02,6.59396286e+01,6.59396286e+01,6.97189903e+00,6.97189903e+00,1.32381439e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02777778,1.32531611,2.79649642,-0.75215438,3.14612168e+04,2.73036768e+03,8.74995178e+02,2.40987640e+02,6.59396286e+01,6.59396286e+01,6.97189903e+00,6.97189903e+00,1.32381439e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02847222,1.31278896,2.82932870,-0.74143207,3.14612168e+04,2.73036768e+03,8.74995178e+02,2.40987640e+02,6.59396286e+01,6.59396286e+01,6.97189903e+00,6.97189903e+00,1.32381439e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02916667,1.30004065,2.86168446,-0.73058466,2.51274434e+04,2.18908569e+03,6.95728821e+02,1.78141251e+02,4.76866188e+01,4.76866188e+01,5.31681633e+00,5.31681633e+00,1.08984959e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02986111,1.28707747,2.89356762,-0.71961671,2.51274434e+04,2.18908569e+03,6.95728821e+02,1.78141251e+02,4.76866188e+01,4.76866188e+01,5.31681633e+00,5.31681633e+00,1.08984959e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03055556,1.27390601,2.92498195,-0.70853199,2.51274434e+04,2.18908569e+03,6.95728821e+02,1.78141251e+02,4.76866188e+01,4.76866188e+01,5.31681633e+00,5.31681633e+00,1.08984959e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03125000,1.26053177,2.95593122,-0.69733473,2.51274434e+04,2.18908569e+03,6.95728821e+02,1.78141251e+02,4.76866188e+01,4.76866188e+01,5.31681633e+00,5.31681633e+00,1.08984959e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03194444,1.24696101,2.98641920,-0.68602853,3.58877578e+04,3.25310669e+03,1.01878015e+03,2.58120148e+02,6.88488159e+01,6.88488159e+01,7.03959322e+00,6.46172380e+00,1.24476957e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03263889,1.23319893,3.01644949,-0.67461718,3.58877578e+04,3.25310669e+03,1.01878015e+03,2.58120148e+02,6.88488159e+01,6.88488159e+01,7.03959322e+00,6.46172380e+00,1.24476957e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
