# Legacy Model output file: ../../unitTests/Legacy/CRRquiet_NatEpochSaa_Diff.CRRESELE.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.06805556,0.37153958,4.00761756,-0.01431347,4.65000000e+05,3.33000000e+05,5.68125000e+04,8.70312500e+03,2.07812500e+03,5.13671994e+02,1.31104007e+02,1.68760009e+01,2.18200008e+00,9.52999981e-01
53219.06875000,0.35285284,4.01746123,-0.00070379,4.65000000e+05,3.33000000e+05,5.68125000e+04,8.70312500e+03,2.07812500e+03,5.13671994e+02,1.31104007e+02,1.68760009e+01,2.18200008e+00,9.52999981e-01
53219.06944444,0.33413627,4.02696494,0.01290589,4.65000000e+05,3.33000000e+05,5.68125000e+04,8.70312500e+03,2.07812500e+03,5.13671994e+02,1.31104007e+02,1.68760009e+01,2.18200008e+00,9.52999981e-01
53219.07013889,0.31539161,4.03613009,0.02651463,4.65000000e+05,3.33000000e+05,5.68125000e+04,8.70312500e+03,2.07812500e+03,5.13671994e+02,1.31104007e+02,1.68760009e+01,2.18200008e+00,9.52999981e-01
53219.07083333,0.29662042,4.04495762,0.04012101,4.65000000e+05,3.33000000e+05,5.68125000e+04,8.70312500e+03,2.07812500e+03,5.13671994e+02,1.31104007e+02,1.68760009e+01,2.18200008e+00,9.52999981e-01
53219.07152778,0.27782474,4.05344880,0.05372426,4.65000000e+05,3.33000000e+05,5.68125000e+04,8.70312500e+03,2.07812500e+03,5.13671994e+02,1.31104007e+02,1.68760009e+01,2.18200008e+00,9.52999981e-01
53219.07222222,0.25900600,4.06160488,0.06732295,4.71500000e+05,3.38500000e+05,5.80000000e+04,8.90625000e+03,2.13281298e+03,5.28320014e+02,1.35010004e+02,1.74870007e+01,2.27000006e+00,9.99000040e-01
53219.07291667,0.24016606,4.06942648,0.08091600,4.71500000e+05,3.38500000e+05,5.80000000e+04,8.90625000e+03,2.13281298e+03,5.28320014e+02,1.35010004e+02,1.74870007e+01,2.27000006e+00,9.99000040e-01
53219.07361111,0.22130635,4.07691502,0.09450261,4.71500000e+05,3.38500000e+05,5.80000000e+04,8.90625000e+03,2.13281298e+03,5.28320014e+02,1.35010004e+02,1.74870007e+01,2.27000006e+00,9.99000040e-01
53219.07430556,0.20242858,4.08407160,0.10808137,5.94000000e+05,4.06000000e+05,6.10000000e+04,9.06250000e+03,2.14453101e+03,5.19531012e+02,1.33301005e+02,1.66320000e+01,2.25799996e+00,9.98000032e-01
