# Legacy Model output file: ../../unitTests/Legacy/CRRactive_atEpoch_Intg.CRRESELE.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.04791667,0.89160268,3.56784389,-0.40318872,4.04689258e+07,2.24945254e+07,5.13492578e+06,1.21852612e+06,3.50726074e+05,1.13176079e+05,4.42260742e+04,1.55760746e+04,4.15712929e+03,1.09409189e+03
53219.04861111,0.87467557,3.58820395,-0.39016292,4.04689258e+07,2.24945254e+07,5.13492578e+06,1.21852612e+06,3.50726074e+05,1.13176079e+05,4.42260742e+04,1.55760746e+04,4.15712929e+03,1.09409189e+03
53219.04930556,0.85765382,3.60817538,-0.37709505,4.04689258e+07,2.24945254e+07,5.13492578e+06,1.21852612e+06,3.50726074e+05,1.13176079e+05,4.42260742e+04,1.55760746e+04,4.15712929e+03,1.09409189e+03
53219.05000000,0.84054009,3.62776023,-0.36398653,4.04689258e+07,2.24945254e+07,5.13492578e+06,1.21852612e+06,3.50726074e+05,1.13176079e+05,4.42260742e+04,1.55760746e+04,4.15712929e+03,1.09409189e+03
53219.05069444,0.82333736,3.64696086,-0.35083956,3.91268477e+07,2.16804492e+07,4.86204785e+06,1.14924805e+06,3.31448059e+05,1.05448051e+05,4.10980453e+04,1.45355473e+04,3.86699247e+03,1.00546873e+03
53219.05138889,0.80604831,3.66577913,-0.33765586,4.01014023e+07,2.22694043e+07,5.02140381e+06,1.19260376e+06,3.45403717e+05,1.10403717e+05,4.32287140e+04,1.53787117e+04,4.13144588e+03,1.07959008e+03
53219.05208333,0.78867560,3.68421742,-0.32443715,4.01014023e+07,2.22694043e+07,5.02140381e+06,1.19260376e+06,3.45403717e+05,1.10403717e+05,4.32287140e+04,1.53787117e+04,4.13144588e+03,1.07959008e+03
53219.05277778,0.77122206,3.70227775,-0.31118502,4.01014023e+07,2.22694043e+07,5.02140381e+06,1.19260376e+06,3.45403717e+05,1.10403717e+05,4.32287140e+04,1.53787117e+04,4.13144588e+03,1.07959008e+03
53219.05347222,0.75369020,3.71996202,-0.29790134,4.01014023e+07,2.22694043e+07,5.02140381e+06,1.19260376e+06,3.45403717e+05,1.10403717e+05,4.32287140e+04,1.53787117e+04,4.13144588e+03,1.07959008e+03
53219.05416667,0.73608253,3.73727210,-0.28458768,4.01014023e+07,2.22694043e+07,5.02140381e+06,1.19260376e+06,3.45403717e+05,1.10403717e+05,4.32287140e+04,1.53787117e+04,4.13144588e+03,1.07959008e+03
53219.05486111,0.71840156,3.75421020,-0.27124576,4.01014023e+07,2.22694043e+07,5.02140381e+06,1.19260376e+06,3.45403717e+05,1.10403717e+05,4.32287140e+04,1.53787117e+04,4.13144588e+03,1.07959008e+03
53219.05555556,0.70064980,3.77077788,-0.25787701,4.01014023e+07,2.22694043e+07,5.02140381e+06,1.19260376e+06,3.45403717e+05,1.10403717e+05,4.32287140e+04,1.53787117e+04,4.13144588e+03,1.07959008e+03
53219.05625000,0.68282945,3.78697734,-0.24448299,4.01014023e+07,2.22694043e+07,5.02140381e+06,1.19260376e+06,3.45403717e+05,1.10403717e+05,4.32287140e+04,1.53787117e+04,4.13144588e+03,1.07959008e+03
53219.05694444,0.66494302,3.80280999,-0.23106542,3.98777930e+07,2.20281914e+07,4.88899121e+06,1.14339124e+06,3.30791229e+05,1.06741211e+05,4.22162094e+04,1.51412106e+04,3.99218726e+03,1.02158177e+03
53219.05763889,0.64699287,3.81827803,-0.21762557,3.98777930e+07,2.20281914e+07,4.88899121e+06,1.14339124e+06,3.30791229e+05,1.06741211e+05,4.22162094e+04,1.51412106e+04,3.99218726e+03,1.02158177e+03
53219.05833333,0.62898120,3.83338288,-0.20416515,3.98777930e+07,2.20281914e+07,4.88899121e+06,1.14339124e+06,3.30791229e+05,1.06741211e+05,4.22162094e+04,1.51412106e+04,3.99218726e+03,1.02158177e+03
53219.05902778,0.61091019,3.84812641,-0.19068527,3.98777930e+07,2.20281914e+07,4.88899121e+06,1.14339124e+06,3.30791229e+05,1.06741211e+05,4.22162094e+04,1.51412106e+04,3.99218726e+03,1.02158177e+03
53219.05972222,0.59278205,3.86251020,-0.17718781,3.98777930e+07,2.20281914e+07,4.88899121e+06,1.14339124e+06,3.30791229e+05,1.06741211e+05,4.22162094e+04,1.51412106e+04,3.99218726e+03,1.02158177e+03
53219.06041667,0.57459898,3.87653597,-0.16367372,3.98777930e+07,2.20281914e+07,4.88899121e+06,1.14339124e+06,3.30791229e+05,1.06741211e+05,4.22162094e+04,1.51412106e+04,3.99218726e+03,1.02158177e+03
53219.06111111,0.55636317,3.89020514,-0.15014471,3.98777930e+07,2.20281914e+07,4.88899121e+06,1.14339124e+06,3.30791229e+05,1.06741211e+05,4.22162094e+04,1.51412106e+04,3.99218726e+03,1.02158177e+03
53219.06180556,0.53807650,3.90351943,-0.13660190,3.98777930e+07,2.20281914e+07,4.88899121e+06,1.14339124e+06,3.30791229e+05,1.06741211e+05,4.22162094e+04,1.51412106e+04,3.99218726e+03,1.02158177e+03
53219.06250000,0.51974102,3.91648041,-0.12304668,3.98777930e+07,2.20281914e+07,4.88899121e+06,1.14339124e+06,3.30791229e+05,1.06741211e+05,4.22162094e+04,1.51412106e+04,3.99218726e+03,1.02158177e+03
53219.06319444,0.50135893,3.92908934,-0.10948047,3.98777930e+07,2.20281914e+07,4.88899121e+06,1.14339124e+06,3.30791229e+05,1.06741211e+05,4.22162094e+04,1.51412106e+04,3.99218726e+03,1.02158177e+03
53219.06388889,0.48293210,3.94134794,-0.09590454,3.96792891e+07,2.19032871e+07,4.81768750e+06,1.09128748e+06,3.14087524e+05,1.01937500e+05,4.10125008e+04,1.47625008e+04,3.77832127e+03,9.34570670e+02
53219.06458333,0.46446258,3.95325747,-0.08232013,3.96792891e+07,2.19032871e+07,4.81768750e+06,1.09128748e+06,3.14087524e+05,1.01937500e+05,4.10125008e+04,1.47625008e+04,3.77832127e+03,9.34570670e+02
53219.06527778,0.44595210,3.96481934,-0.06872834,3.96792891e+07,2.19032871e+07,4.81768750e+06,1.09128748e+06,3.14087524e+05,1.01937500e+05,4.10125008e+04,1.47625008e+04,3.77832127e+03,9.34570670e+02
53219.06597222,0.42740284,3.97603497,-0.05513059,3.96792891e+07,2.19032871e+07,4.81768750e+06,1.09128748e+06,3.14087524e+05,1.01937500e+05,4.10125008e+04,1.47625008e+04,3.77832127e+03,9.34570670e+02
53219.06666667,0.40881639,3.98690561,-0.04152813,3.96792891e+07,2.19032871e+07,4.81768750e+06,1.09128748e+06,3.14087524e+05,1.01937500e+05,4.10125008e+04,1.47625008e+04,3.77832127e+03,9.34570670e+02
53219.06736111,0.39019463,3.99743267,-0.02792206,3.96792891e+07,2.19032871e+07,4.81768750e+06,1.09128748e+06,3.14087524e+05,1.01937500e+05,4.10125008e+04,1.47625008e+04,3.77832127e+03,9.34570670e+02
53219.06805556,0.37153958,4.00761756,-0.01431347,3.96792891e+07,2.19032871e+07,4.81768750e+06,1.09128748e+06,3.14087524e+05,1.01937500e+05,4.10125008e+04,1.47625008e+04,3.77832127e+03,9.34570670e+02
53219.06875000,0.35285284,4.01746123,-0.00070379,3.96792891e+07,2.19032871e+07,4.81768750e+06,1.09128748e+06,3.14087524e+05,1.01937500e+05,4.10125008e+04,1.47625008e+04,3.77832127e+03,9.34570670e+02
53219.06944444,0.33413627,4.02696494,0.01290589,3.96792891e+07,2.19032871e+07,4.81768750e+06,1.09128748e+06,3.14087524e+05,1.01937500e+05,4.10125008e+04,1.47625008e+04,3.77832127e+03,9.34570670e+02
53219.07013889,0.31539161,4.03613009,0.02651463,4.03465820e+07,2.23081797e+07,4.92418018e+06,1.11858044e+06,3.22780487e+05,1.05180473e+05,4.24554710e+04,1.53304691e+04,3.94492197e+03,9.79687512e+02
53219.07083333,0.29662042,4.04495762,0.04012101,4.03465820e+07,2.23081797e+07,4.92418018e+06,1.11858044e+06,3.22780487e+05,1.05180473e+05,4.24554710e+04,1.53304691e+04,3.94492197e+03,9.79687512e+02
53219.07152778,0.27782474,4.05344880,0.05372426,4.03465820e+07,2.23081797e+07,4.92418018e+06,1.11858044e+06,3.22780487e+05,1.05180473e+05,4.24554710e+04,1.53304691e+04,3.94492197e+03,9.79687512e+02
53219.07222222,0.25900600,4.06160488,0.06732295,4.03465820e+07,2.23081797e+07,4.92418018e+06,1.11858044e+06,3.22780487e+05,1.05180473e+05,4.24554710e+04,1.53304691e+04,3.94492197e+03,9.79687512e+02
53219.07291667,0.24016606,4.06942648,0.08091600,4.03465820e+07,2.23081797e+07,4.92418018e+06,1.11858044e+06,3.22780487e+05,1.05180473e+05,4.24554710e+04,1.53304691e+04,3.94492197e+03,9.79687512e+02
53219.07361111,0.22130635,4.07691502,0.09450261,4.03465820e+07,2.23081797e+07,4.92418018e+06,1.11858044e+06,3.22780487e+05,1.05180473e+05,4.24554710e+04,1.53304691e+04,3.94492197e+03,9.79687512e+02
53219.07430556,0.20242858,4.08407160,0.10808137,3.98042031e+07,2.20442012e+07,4.87500146e+06,1.07380139e+06,3.02001373e+05,9.74013672e+04,3.99763680e+04,1.43888683e+04,3.57363319e+03,8.60449374e+02
53219.07500000,0.18353450,4.09089685,0.12165149,3.98042031e+07,2.20442012e+07,4.87500146e+06,1.07380139e+06,3.02001373e+05,9.74013672e+04,3.99763680e+04,1.43888683e+04,3.57363319e+03,8.60449374e+02
