# Irene Model output file: ../../unitTests/Legacy/CRRactive_NatEpochSa_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.04444444,0.97471073,3.46013122,-0.46761426,1.45009947e+11,7.87375945e+10,1.71545422e+10,4.11271464e+09,1.22258060e+09,3.97517582e+08,1.52094331e+08,5.24797047e+07,1.35227759e+07,3.35111123e+06
53219.04513889,0.95830315,3.48246986,-0.45482970,1.47364904e+11,8.00427910e+10,1.74507306e+10,4.18267904e+09,1.24261300e+09,4.03944983e+08,1.54590232e+08,5.33526052e+07,1.37532076e+07,3.41134268e+06
53219.04583333,0.94178538,3.50440812,-0.44199272,1.49719860e+11,8.13479873e+10,1.77469189e+10,4.25264344e+09,1.26264540e+09,4.10372383e+08,1.57086133e+08,5.42255055e+07,1.39836392e+07,3.47157413e+06
53219.04652778,0.92516057,3.52594833,-0.42910551,1.52074816e+11,8.26531838e+10,1.80431074e+10,4.32260785e+09,1.28267780e+09,4.16799784e+08,1.59582033e+08,5.50984060e+07,1.42140709e+07,3.53180558e+06
53219.04722222,0.90843201,3.54709270,-0.41617011,1.54466362e+11,8.39806177e+10,1.83452493e+10,4.39414583e+09,1.30321579e+09,4.23408767e+08,1.62156766e+08,5.60021383e+07,1.44540006e+07,3.59474406e+06
53219.04791667,0.89160268,3.56784389,-0.40318872,1.56894498e+11,8.53302893e+10,1.86533449e+10,4.46725740e+09,1.32425935e+09,4.30199332e+08,1.64810330e+08,5.69367029e+07,1.47034284e+07,3.66038958e+06
53219.04861111,0.87467557,3.58820395,-0.39016292,1.59322633e+11,8.66799607e+10,1.89614404e+10,4.54036897e+09,1.34530291e+09,4.36989896e+08,1.67463895e+08,5.78712673e+07,1.49528561e+07,3.72603509e+06
53219.04930556,0.85765382,3.60817538,-0.37709505,1.61710507e+11,8.80052101e+10,1.92613496e+10,4.61140220e+09,1.36576814e+09,4.43548621e+08,1.70023618e+08,5.87746160e+07,1.51935798e+07,3.78902191e+06
53219.05000000,0.84054009,3.62776023,-0.36398653,1.64058117e+11,8.93060370e+10,1.95530725e+10,4.68035707e+09,1.38565502e+09,4.49875503e+08,1.72489501e+08,5.96467488e+07,1.54255993e+07,3.84935003e+06
53219.05069444,0.82333736,3.64696086,-0.35083956,1.66405728e+11,9.06068638e+10,1.98447953e+10,4.74931195e+09,1.40554190e+09,4.56202386e+08,1.74955384e+08,6.05188816e+07,1.56576189e+07,3.90967815e+06
53219.05138889,0.80604831,3.66577913,-0.33765586,1.68753339e+11,9.19076909e+10,2.01365182e+10,4.81826684e+09,1.42542879e+09,4.62529270e+08,1.77421267e+08,6.13910145e+07,1.58896384e+07,3.97000628e+06
53219.05208333,0.78867560,3.68421742,-0.32443715,1.71100950e+11,9.32085178e+10,2.04282411e+10,4.88722172e+09,1.44531567e+09,4.68856152e+08,1.79887149e+08,6.22631473e+07,1.61216580e+07,4.03033440e+06
53219.05277778,0.77122206,3.70227775,-0.31118502,1.73477798e+11,9.45270135e+10,2.07247447e+10,4.95747728e+09,1.46562123e+09,4.75331706e+08,1.82416952e+08,6.31605751e+07,1.63616111e+07,4.09288617e+06
53219.05347222,0.75369020,3.71996202,-0.29790134,1.75883882e+11,9.58631776e+10,2.10260289e+10,5.02903350e+09,1.48634545e+09,4.81955929e+08,1.85010675e+08,6.40832978e+07,1.66094979e+07,4.15766157e+06
53219.05416667,0.73608253,3.73727210,-0.28458768,1.78289966e+11,9.71993420e+10,2.13273131e+10,5.10058973e+09,1.50706967e+09,4.88580152e+08,1.87604398e+08,6.50060205e+07,1.68573846e+07,4.22243698e+06
53219.05486111,0.71840156,3.75421020,-0.27124576,1.80696050e+11,9.85355062e+10,2.16285973e+10,5.17214595e+09,1.52779390e+09,4.95204375e+08,1.90198120e+08,6.59287432e+07,1.71052714e+07,4.28721238e+06
53219.05555556,0.70064980,3.77077788,-0.25787701,1.83070153e+11,9.98493372e+10,2.19219243e+10,5.24116890e+09,1.54774284e+09,5.01597818e+08,1.92708813e+08,6.68235607e+07,1.73426142e+07,4.34845898e+06
53219.05625000,0.68282945,3.78697734,-0.24448299,1.85412275e+11,1.01140835e+11,2.22072939e+10,5.30765856e+09,1.56691650e+09,5.07760480e+08,1.95136475e+08,6.76904728e+07,1.75694131e+07,4.40617677e+06
