# Legacy Model output file: ../../unitTests/Legacy/CRRquiet_NatEpoch_Diff.CRRESPRO.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESPRO
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Quiet
# Energy levels (MeV):       1.5 2.1 2.5 2.9 3.6 4.3 5.7 6.8 8.5 9.7 10.7 13.2 16.9 19.4 26.3 30.9 36.3 41.1 47 55 65.7 81.3
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.02083333,1.43685460,2.44106636,-0.85146738,3.05374961e+04,4.52641211e+03,1.72992493e+03,4.83388672e+02,1.01862144e+02,2.01797104e+01,7.96940982e-01,2.09961009e+00,6.97712004e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02152778,1.42694265,2.47889157,-0.84226174,2.51611523e+04,3.65417212e+03,1.38188672e+03,3.48185577e+02,8.55406342e+01,1.65865688e+01,5.65403998e-01,1.37856102e+00,4.23624009e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02222222,1.41673201,2.51619773,-0.83287968,3.85045430e+04,5.58040430e+03,2.06510596e+03,5.08391022e+02,1.16906494e+02,2.28885899e+01,1.37356198e+00,2.06505895e+00,6.59703016e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02291667,1.40623164,2.55298955,-0.82332732,3.85045430e+04,5.58040430e+03,2.06510596e+03,5.08391022e+02,1.16906494e+02,2.28885899e+01,1.37356198e+00,2.06505895e+00,6.59703016e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02361111,1.39545046,2.58927141,-0.81361047,3.85045430e+04,5.58040430e+03,2.06510596e+03,5.08391022e+02,1.16906494e+02,2.28885899e+01,1.37356198e+00,2.06505895e+00,6.59703016e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02430556,1.38439666,2.62504771,-0.80373478,3.85045430e+04,5.58040430e+03,2.06510596e+03,5.08391022e+02,1.16906494e+02,2.28885899e+01,1.37356198e+00,2.06505895e+00,6.59703016e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02500000,1.37307870,2.66032286,-0.79370542,3.85045430e+04,5.58040430e+03,2.06510596e+03,5.08391022e+02,1.16906494e+02,2.28885899e+01,1.37356198e+00,2.06505895e+00,6.59703016e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02569444,1.36150411,2.69510108,-0.78352791,3.16698359e+04,4.32659229e+03,1.58786218e+03,3.74692413e+02,9.35954819e+01,1.51337585e+01,7.97360003e-01,1.80344403e+00,6.44595981e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02638889,1.34968075,2.72938677,-0.77320693,3.95444961e+04,5.42604834e+03,1.95077063e+03,4.52842346e+02,1.10671326e+02,1.99469433e+01,1.03418100e+00,2.08772302e+00,7.46583998e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02708333,1.33761568,2.76318386,-0.76274752,3.95444961e+04,5.42604834e+03,1.95077063e+03,4.52842346e+02,1.10671326e+02,1.99469433e+01,1.03418100e+00,2.08772302e+00,7.46583998e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02777778,1.32531611,2.79649642,-0.75215438,3.95444961e+04,5.42604834e+03,1.95077063e+03,4.52842346e+02,1.10671326e+02,1.99469433e+01,1.03418100e+00,2.08772302e+00,7.46583998e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02847222,1.31278896,2.82932870,-0.74143207,3.95444961e+04,5.42604834e+03,1.95077063e+03,4.52842346e+02,1.10671326e+02,1.99469433e+01,1.03418100e+00,2.08772302e+00,7.46583998e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02916667,1.30004065,2.86168446,-0.73058466,3.95444961e+04,5.42604834e+03,1.95077063e+03,4.52842346e+02,1.10671326e+02,1.99469433e+01,1.03418100e+00,2.08772302e+00,7.46583998e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02986111,1.28707747,2.89356762,-0.71961671,3.26358242e+04,4.35590088e+03,1.50827954e+03,3.22133759e+02,8.21057739e+01,1.30723534e+01,7.45274007e-01,2.28300595e+00,7.93344021e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03055556,1.27390601,2.92498195,-0.70853199,3.26358242e+04,4.35590088e+03,1.50827954e+03,3.22133759e+02,8.21057739e+01,1.30723534e+01,7.45274007e-01,2.28300595e+00,7.93344021e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03125000,1.26053177,2.95593122,-0.69733473,5.11965352e+04,6.81458691e+03,2.32711841e+03,5.22976868e+02,1.18383156e+02,2.06865845e+01,1.34388101e+00,2.56413102e+00,8.18075001e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03194444,1.24696101,2.98641920,-0.68602853,5.11965352e+04,6.81458691e+03,2.32711841e+03,5.22976868e+02,1.18383156e+02,2.06865845e+01,1.34388101e+00,2.56413102e+00,8.18075001e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03263889,1.23319893,3.01644949,-0.67461718,5.11965352e+04,6.81458691e+03,2.32711841e+03,5.22976868e+02,1.18383156e+02,2.06865845e+01,1.34388101e+00,2.56413102e+00,8.18075001e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03333333,1.21925132,3.04602571,-0.66310412,5.11965352e+04,6.81458691e+03,2.32711841e+03,5.22976868e+02,1.18383156e+02,2.06865845e+01,1.34388101e+00,2.56413102e+00,8.18075001e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03402778,1.20512321,3.07515099,-0.65149297,4.23465234e+04,5.52593994e+03,1.82616699e+03,3.94035217e+02,8.66642303e+01,1.37776241e+01,6.26873016e-01,1.93671000e+00,8.24263990e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
