# Irene Model output file: ../../unitTests/Legacy/CRRactive_NatEpoch_Diff.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.03194444,1.24696101,2.98641920,-0.68602853,1.54978560e+11,1.65020160e+11,3.32515200e+10,7.66991999e+09,2.26095000e+09,6.29452499e+08,2.36208750e+08,5.62218749e+07,1.16097663e+07,2.85770488e+06
53219.03263889,1.23319893,3.01644949,-0.67461718,1.58426880e+11,1.68771840e+11,3.40857600e+10,7.87152000e+09,2.31795000e+09,6.45082500e+08,2.42306250e+08,5.76900000e+07,1.18924226e+07,2.92883770e+06
53219.03333333,1.21925132,3.04602571,-0.66310412,1.61875200e+11,1.72523520e+11,3.49200000e+10,8.07311999e+09,2.37495000e+09,6.60712499e+08,2.48403750e+08,5.91581249e+07,1.21750789e+07,2.99997052e+06
53219.03402778,1.20512321,3.07515099,-0.65149297,1.65287040e+11,1.76231040e+11,3.57465600e+10,8.27220001e+09,2.43051000e+09,6.75840001e+08,2.54328750e+08,6.05868750e+07,1.24450789e+07,3.06934552e+06
53219.03472222,1.19081978,3.10382911,-0.63978701,1.68662400e+11,1.79894400e+11,3.65654400e+10,8.46875999e+09,2.48463000e+09,6.90464999e+08,2.60081250e+08,6.19762499e+07,1.27024227e+07,3.13696270e+06
53219.03541667,1.17634606,3.13206335,-0.62798955,1.72037760e+11,1.83557760e+11,3.73843200e+10,8.66532001e+09,2.53875000e+09,7.05090001e+08,2.65833750e+08,6.33656251e+07,1.29597665e+07,3.20457988e+06
53219.03611111,1.16170690,3.15985701,-0.61610356,1.75461120e+11,1.87280640e+11,3.82200000e+10,8.86656000e+09,2.59425000e+09,7.20127500e+08,2.71766250e+08,6.48037500e+07,1.32276571e+07,3.27553690e+06
53219.03680556,1.14690686,3.18721324,-0.60413250,1.78932480e+11,1.91063040e+11,3.90724801e+10,9.07248001e+09,2.65113000e+09,7.35577501e+08,2.77878750e+08,6.62906251e+07,1.35060946e+07,3.34983377e+06
53219.03750000,1.13195050,3.21413533,-0.59207889,1.82403840e+11,1.94845440e+11,3.99249600e+10,9.27840000e+09,2.70801000e+09,7.51027500e+08,2.83991250e+08,6.77775000e+07,1.37845321e+07,3.42413062e+06
53219.03819444,1.11684235,3.24062626,-0.57994601,1.85875200e+11,1.98627840e+11,4.07774399e+10,9.48431999e+09,2.76489000e+09,7.66477499e+08,2.90103750e+08,6.92643749e+07,1.40629696e+07,3.49842748e+06
53219.03888889,1.10158683,3.26668916,-0.56773638,1.89306240e+11,2.02366080e+11,4.16198400e+10,9.68628000e+09,2.82045000e+09,7.81462500e+08,2.95995000e+08,7.06959375e+07,1.43317977e+07,3.57166966e+06
53219.03958333,1.08618785,3.29232703,-0.55545298,1.92696960e+11,2.06060160e+11,4.24521600e+10,9.88427999e+09,2.87469000e+09,7.95982499e+08,3.01665000e+08,7.20721874e+07,1.45910165e+07,3.64385716e+06
53219.04027778,1.07064964,3.31754285,-0.54309832,1.96087680e+11,2.09754240e+11,4.32844800e+10,1.00822800e+10,2.92893000e+09,8.10502500e+08,3.07335000e+08,7.34484375e+07,1.48502353e+07,3.71604466e+06
53219.04097222,1.05497614,3.34233943,-0.53067491,1.99478400e+11,2.13448320e+11,4.41168000e+10,1.02802800e+10,2.98317000e+09,8.25022500e+08,3.13005000e+08,7.48246875e+07,1.51094541e+07,3.78823216e+06
53219.04166667,1.03917111,3.36671961,-0.51818543,2.02907520e+11,2.17188480e+11,4.49625600e+10,1.04818800e+10,3.03846000e+09,8.39850001e+08,3.18806250e+08,7.62375001e+07,1.53764072e+07,3.86299781e+06
53219.04236111,1.02323848,3.39068621,-0.50563222,2.06375040e+11,2.20974720e+11,4.58217600e+10,1.06870800e+10,3.09480000e+09,8.54985000e+08,3.24738750e+08,7.76868750e+07,1.56510947e+07,3.94034158e+06
53219.04305556,1.00718185,3.41424190,-0.49301780,2.09842560e+11,2.24760960e+11,4.66809601e+10,1.08922800e+10,3.15114000e+09,8.70120001e+08,3.30671250e+08,7.91362501e+07,1.59257822e+07,4.01768536e+06
