# Legacy Model output file: ../../unitTests/Legacy/CRRquiet_NatEpochSaa_Intg.CRRESELE.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.05208333,0.78867560,3.68421742,-0.32443715,1.40489731e+05,6.92272263e+04,1.40053558e+04,2.50848031e+03,6.24105334e+02,1.58773303e+02,4.08288985e+01,9.67629999e+00,2.15812493e+00,6.52574992e-01
53219.05277778,0.77122206,3.70227775,-0.31118502,1.43979858e+05,7.11298447e+04,1.44610987e+04,2.60172367e+03,6.49770319e+02,1.65981159e+02,4.28853519e+01,1.02313505e+01,2.30732490e+00,7.01249985e-01
53219.05347222,0.75369020,3.71996202,-0.29790134,1.43979858e+05,7.11298447e+04,1.44610987e+04,2.60172367e+03,6.49770319e+02,1.65981159e+02,4.28853519e+01,1.02313505e+01,2.30732490e+00,7.01249985e-01
53219.05416667,0.73608253,3.73727210,-0.28458768,1.43979858e+05,7.11298447e+04,1.44610987e+04,2.60172367e+03,6.49770319e+02,1.65981159e+02,4.28853519e+01,1.02313505e+01,2.30732490e+00,7.01249985e-01
53219.05486111,0.71840156,3.75421020,-0.27124576,1.43979858e+05,7.11298447e+04,1.44610987e+04,2.60172367e+03,6.49770319e+02,1.65981159e+02,4.28853519e+01,1.02313505e+01,2.30732490e+00,7.01249985e-01
53219.05555556,0.70064980,3.77077788,-0.25787701,1.75749969e+05,8.23999710e+04,1.51374731e+04,2.63278580e+03,6.50363743e+02,1.63351908e+02,4.16233018e+01,9.89730004e+00,2.25507515e+00,6.93825015e-01
53219.05625000,0.68282945,3.78697734,-0.24448299,1.75749969e+05,8.23999710e+04,1.51374731e+04,2.63278580e+03,6.50363743e+02,1.63351908e+02,4.16233018e+01,9.89730004e+00,2.25507515e+00,6.93825015e-01
53219.05694444,0.66494302,3.80280999,-0.23106542,1.75749969e+05,8.23999710e+04,1.51374731e+04,2.63278580e+03,6.50363743e+02,1.63351908e+02,4.16233018e+01,9.89730004e+00,2.25507515e+00,6.93825015e-01
53219.05763889,0.64699287,3.81827803,-0.21762557,1.75749969e+05,8.23999710e+04,1.51374731e+04,2.63278580e+03,6.50363743e+02,1.63351908e+02,4.16233018e+01,9.89730004e+00,2.25507515e+00,6.93825015e-01
53219.05833333,0.62898120,3.83338288,-0.20416515,1.75749969e+05,8.23999710e+04,1.51374731e+04,2.63278580e+03,6.50363743e+02,1.63351908e+02,4.16233018e+01,9.89730004e+00,2.25507515e+00,6.93825015e-01
