# Irene Model output file: ../../unitTests/Legacy/CRRquiet_NatEpochSaa_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.04375000,0.99100483,3.43738935,-0.48034436,1.50142803e+08,9.49292812e+07,2.65755464e+07,5.35828086e+06,1.51987738e+06,4.22152647e+05,1.23804491e+05,3.11413900e+04,7.01325978e+03,1.52635723e+03
53219.04444444,0.97471073,3.46013122,-0.46761426,1.56751343e+08,9.83784465e+07,2.73233056e+07,5.49929006e+06,1.55541782e+06,4.31325900e+05,1.26180860e+05,3.17006110e+04,7.13537628e+03,1.56259123e+03
53219.04513889,0.95830315,3.48246986,-0.45482970,1.63359884e+08,1.01827612e+08,2.80710648e+07,5.64029928e+06,1.59095827e+06,4.40499154e+05,1.28557229e+05,3.22598320e+04,7.25749280e+03,1.59882523e+03
53219.04583333,0.94178538,3.50440812,-0.44199272,1.69968424e+08,1.05276778e+08,2.88188240e+07,5.78130847e+06,1.62649872e+06,4.49672407e+05,1.30933598e+05,3.28190530e+04,7.37960929e+03,1.63505923e+03
53219.04652778,0.92516057,3.52594833,-0.42910551,1.76576965e+08,1.08725943e+08,2.95665832e+07,5.92231769e+06,1.66203916e+06,4.58845661e+05,1.33309967e+05,3.33782741e+04,7.50172581e+03,1.67129323e+03
53219.04722222,0.90843201,3.54709270,-0.41617011,1.83285313e+08,1.12232167e+08,3.03288850e+07,6.06643201e+06,1.69845818e+06,4.68267603e+05,1.35757786e+05,3.39569546e+04,7.62898356e+03,1.70916073e+03
53219.04791667,0.89160268,3.56784389,-0.40318872,1.90093471e+08,1.15795449e+08,3.11057295e+07,6.21365148e+06,1.73575577e+06,4.77938236e+05,1.38277054e+05,3.45550947e+04,7.76138257e+03,1.74866173e+03
53219.04861111,0.87467557,3.58820395,-0.39016292,1.96901627e+08,1.19358731e+08,3.18825739e+07,6.36087093e+06,1.77305335e+06,4.87608867e+05,1.40796322e+05,3.51532347e+04,7.89378157e+03,1.78816273e+03
53219.04930556,0.85765382,3.60817538,-0.37709505,2.04520398e+08,1.23217189e+08,3.26911569e+07,6.50973508e+06,1.81042531e+06,4.97207383e+05,1.43280823e+05,3.57425937e+04,8.02472483e+03,1.82749048e+03
53219.05000000,0.84054009,3.62776023,-0.36398653,2.12949782e+08,1.27370822e+08,3.35314782e+07,6.66024389e+06,1.84787162e+06,5.06733781e+05,1.45730557e+05,3.63231717e+04,8.15421232e+03,1.86664498e+03
