# Irene Model output file: ../../unitTests/Legacy/CammiceAll_PaOmni.CAMMICE.output_mean_Ions_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         Ions
# Flux type:                Differential
# Flux direction:           Omnidirectional
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.04652778,0.92516057,3.52594833,-0.42910551,3.22731471e+09,1.67740786e+09,1.09903010e+09,5.14051713e+08,2.07796445e+08,1.11024061e+08,6.49913718e+07,5.70139317e+07,6.24769689e+07,8.84051747e+07,1.18779808e+08,1.53430264e+08
53219.04722222,0.90843201,3.54709270,-0.41617011,3.43204419e+09,1.79174449e+09,1.16777869e+09,5.44851596e+08,2.23213869e+08,1.20867977e+08,7.12248052e+07,6.26651759e+07,6.86052495e+07,9.69097010e+07,1.28164133e+08,1.61878777e+08
53219.04791667,0.89160268,3.56784389,-0.40318872,3.63916877e+09,1.90737209e+09,1.23735320e+09,5.76023216e+08,2.38823645e+08,1.30831916e+08,7.75312520e+07,6.83960969e+07,7.48241657e+07,1.05550307e+08,1.37703456e+08,1.70481032e+08
53219.04861111,0.87467557,3.58820395,-0.39016292,3.84868388e+09,2.02428820e+09,1.30775207e+09,6.07565865e+08,2.54625408e+08,1.40915649e+08,8.39105733e+07,7.42065435e+07,8.11335456e+07,1.14326733e+08,1.47397485e+08,1.79236736e+08
53219.04930556,0.85765382,3.60817538,-0.37709505,4.06058522e+09,2.14249049e+09,1.37897382e+09,6.39478874e+08,2.70618810e+08,1.51118961e+08,9.03626376e+07,8.00963718e+07,8.75332254e+07,1.23238735e+08,1.57245940e+08,1.88145612e+08
53219.05000000,0.84054009,3.62776023,-0.36398653,4.27486848e+09,2.26197665e+09,1.45101695e+09,6.71761576e+08,2.86803506e+08,1.61441636e+08,9.68873138e+07,8.60654391e+07,9.40230429e+07,1.32286069e+08,1.67248542e+08,1.97207385e+08
53219.05069444,0.82333736,3.64696086,-0.35083956,4.49152960e+09,2.38274449e+09,1.52388006e+09,7.04413339e+08,3.03179170e+08,1.71883470e+08,1.03484478e+08,9.21136099e+07,1.00602844e+08,1.41468504e+08,1.77405028e+08,2.06421793e+08
53219.05138889,0.80604831,3.66577913,-0.33765586,4.71056459e+09,2.50479186e+09,1.59756179e+09,7.37433547e+08,3.19745483e+08,1.82444265e+08,1.10154009e+08,9.82407520e+07,1.07272478e+08,1.50785812e+08,1.87715141e+08,2.15788581e+08
53219.05208333,0.78867560,3.68421742,-0.32443715,4.93196949e+09,2.62811662e+09,1.67206076e+09,7.70821582e+08,3.36502125e+08,1.93123820e+08,1.16895785e+08,1.04446733e+08,1.14031795e+08,1.60237769e+08,1.98178623e+08,2.25307494e+08
53219.05277778,0.77122206,3.70227775,-0.31118502,5.15574057e+09,2.75271676e+09,1.74737568e+09,8.04576866e+08,3.53448796e+08,2.03921949e+08,1.23709694e+08,1.10731429e+08,1.20880653e+08,1.69824163e+08,2.08795234e+08,2.34978292e+08
