# GPS_1DAY_SPMO test orbit
# System: GSE
# Units: Re
# Data Delimiter: Comma
# Time format: YrMoDaHrMnSc
# Year,Month,Day,Hour,Minute,Second,X,Y,Z
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,2.000000000000e+00,5.999990000001e+01,2.748117629116e+00,-2.457388813236e+00,-1.946061172851e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,3.000000000000e+00,5.999990000001e+01,2.768018037536e+00,-2.428088523838e+00,-1.954608401653e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,4.000000000000e+00,5.999990000001e+01,2.787707224783e+00,-2.398602796763e+00,-1.963005964679e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,5.000000000000e+00,5.999990000001e+01,2.807183681182e+00,-2.368933894417e+00,-1.971253216100e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,6.000000000000e+00,5.999990000001e+01,2.826445923213e+00,-2.339084078383e+00,-1.979349525832e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,7.000000000000e+00,5.999990000001e+01,2.845492483557e+00,-2.309055623941e+00,-1.987294275249e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,8.000000000000e+00,5.999990000001e+01,2.864321901794e+00,-2.278850835127e+00,-1.995086853346e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,9.000000000000e+00,5.999990000001e+01,2.882932746772e+00,-2.248472009250e+00,-2.002726666046e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,1.000000000000e+01,5.999990000001e+01,2.901323591466e+00,-2.217921477222e+00,-2.010213125797e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,1.100000000000e+01,5.999990000001e+01,2.919493035017e+00,-2.187201567806e+00,-2.017545660643e+00
