# GPS_1DAY_AE9 test orbit
# System: GEI
# Units: RE
# MJD, X, Y, Z
5.702337500000e+04,5.378780500354e-02,-2.391061943859e+00,-3.414790349119e+00
5.702337847222e+04,2.360695366158e-01,-2.387424303894e+00,-3.409595260854e+00
5.702338194444e+04,4.178994327872e-01,-2.379217150520e+00,-3.397874231122e+00
5.702338541667e+04,5.989294663168e-01,-2.366456192676e+00,-3.379649694613e+00
5.702338888889e+04,7.788131591246e-01,-2.349165853890e+00,-3.354956531740e+00
5.702339236111e+04,9.572062089967e-01,-2.327379228102e+00,-3.323842005547e+00
5.702339583333e+04,1.133767172884e+00,-2.301138014760e+00,-3.286365669017e+00
5.702339930556e+04,1.308158108531e+00,-2.270492440463e+00,-3.242599253170e+00
5.702340277778e+04,1.480045244599e+00,-2.235501158573e+00,-3.192626523685e+00
5.702340625000e+04,1.649099584427e+00,-2.196231143111e+00,-3.136543129378e+00
5.702340972222e+04,1.814997559193e+00,-2.152757556612e+00,-3.074456413474e+00
5.702341319444e+04,1.977421641333e+00,-2.105163607216e+00,-3.006485209512e+00
5.702341666667e+04,2.136060947040e+00,-2.053540391208e+00,-2.932759616468e+00
5.702342013889e+04,2.290611852427e+00,-1.997986711599e+00,-2.853420739668e+00
5.702342361111e+04,2.440778542761e+00,-1.938608899409e+00,-2.768620435543e+00
5.702342708333e+04,2.586273600047e+00,-1.875520603352e+00,-2.678521011281e+00
5.702343055556e+04,2.726818543138e+00,-1.808842576282e+00,-2.583294919828e+00
5.702343402778e+04,2.862144379418e+00,-1.738702435005e+00,-2.483124416870e+00
5.702343750000e+04,2.991992091387e+00,-1.665234429436e+00,-2.378201231157e+00
5.702344097222e+04,3.116113151435e+00,-1.588579176823e+00,-2.268726184932e+00
5.702344444444e+04,3.234269992719e+00,-1.508883394785e+00,-2.154908812668e+00
5.702344791667e+04,3.346236460226e+00,-1.426299623305e+00,-2.036966964040e+00
5.702345138889e+04,3.451798258427e+00,-1.340985921607e+00,-1.915126371012e+00
5.702345486111e+04,3.550753338921e+00,-1.253105582240e+00,-1.789620239514e+00
5.702345833333e+04,3.642912302374e+00,-1.162826807560e+00,-1.660688787403e+00
5.702346180556e+04,3.728098754440e+00,-1.070322393645e+00,-1.528578793056e+00
5.702346527778e+04,3.806149654557e+00,-9.757693870946e-01,-1.393543105219e+00
5.702346875000e+04,3.876915610873e+00,-8.793487647665e-01,-1.255840185632e+00
5.702347222222e+04,3.940261177844e+00,-7.812450750572e-01,-1.115733596720e+00
5.702347569444e+04,3.996065112498e+00,-6.816460877420e-01,-9.734915015123e-01
5.702347916667e+04,4.044220605010e+00,-5.807424379884e-01,-8.293861552437e-01
5.702348263889e+04,4.084635489332e+00,-4.787272479108e-01,-6.836933648770e-01
5.702348611111e+04,4.117232409915e+00,-3.757957772313e-01,-5.366919901950e-01
