# GPS_1DAY_SPMHE test orbit
# System: MAG
# Data Delimiter: Comma
# Time format: MJD
# MJD,X,Y,Z
5.702347916667e+04,-3.394552490275e+00,1.959307376823e+00,-1.420912196327e+00
5.702348263889e+04,-3.450226418222e+00,1.957472037550e+00,-1.282616217341e+00
5.702348611111e+04,-3.501113943877e+00,1.954098151360e+00,-1.142175574339e+00
5.702348958333e+04,-3.547201212722e+00,1.948969048235e+00,-9.998733326092e-01
5.702349305556e+04,-3.588490430298e+00,1.941872429323e+00,-8.559972988677e-01
5.702349652778e+04,-3.624999676549e+00,1.932601392155e+00,-7.108394191639e-01
5.702350000000e+04,-3.656762639995e+00,1.920955436549e+00,-5.646952109793e-01
5.702350347222e+04,-3.683828300817e+00,1.906741442061e+00,-4.178631342941e-01
5.702350694444e+04,-3.706260543292e+00,1.889774616108e+00,-2.706439752255e-01
5.702351041667e+04,-3.724137707618e+00,1.869879408057e+00,-1.233402197118e-01
5.702351388889e+04,-3.737552085118e+00,1.846890381286e+00,2.374460615808e-02
5.702351736111e+04,-3.746609350653e+00,1.820653049645e+00,1.703065535929e-01
5.702352083333e+04,-3.751427946890e+00,1.791024661353e+00,3.160419236330e-01
5.702352430556e+04,-3.752138414011e+00,1.757874937800e+00,4.606479142873e-01
5.702352777778e+04,-3.748882671746e+00,1.721086753311e+00,6.038232993510e-01
5.702353125000e+04,-3.741813256386e+00,1.680556770456e+00,7.452690597276e-01
5.702353472222e+04,-3.731092516735e+00,1.636196005917e+00,8.846890626470e-01
5.702353819444e+04,-3.716891772012e+00,1.587930340762e+00,1.021790714293e+00
5.702354166667e+04,-3.699390436605e+00,1.535700968269e+00,1.156285608917e+00
5.702354513889e+04,-3.678775111824e+00,1.479464767589e+00,1.287890194799e+00
5.702354861111e+04,-3.655238657863e+00,1.419194628146e+00,1.416326387977e+00
5.702355208333e+04,-3.628979238411e+00,1.354879688355e+00,1.541322222329e+00
5.702355555556e+04,-3.600199351781e+00,1.286525515814e+00,1.662612462473e+00
5.702355902778e+04,-3.569104843662e+00,1.214154203894e+00,1.779939229270e+00
5.702356250000e+04,-3.535903921121e+00,1.137804420615e+00,1.893052571063e+00
5.702356597222e+04,-3.500806153010e+00,1.057531363751e+00,2.001711060446e+00
5.702356944444e+04,-3.464021475490e+00,9.734066562892e-01,2.105682353684e+00
5.702357291667e+04,-3.425759202816e+00,8.855181721902e-01,2.204743732687e+00
5.702357638889e+04,-3.386227040923e+00,7.939697774168e-01,2.298682643526e+00
5.702357986111e+04,-3.345630127564e+00,6.988810317719e-01,2.387297180651e+00
5.702358333333e+04,-3.304170077609e+00,6.003867938863e-01,2.470396581874e+00
5.702358680556e+04,-3.262044058300e+00,4.986367783079e-01,2.547801680039e+00
5.702359027778e+04,-3.219443882427e+00,3.937950284466e-01,2.619345345549e+00
5.702359375000e+04,-3.176555145954e+00,2.860393618599e-01,2.684872876684e+00
5.702359722222e+04,-3.133556385639e+00,1.755607220393e-01,2.744242388470e+00
5.702360069444e+04,-3.090618281504e+00,6.256249028962e-02,2.797325159615e+00
5.702360416667e+04,-3.047902900673e+00,-5.274025574297e-02,2.844005950990e+00
5.702360763889e+04,-3.005562978712e+00,-1.701215537329e-01,2.884183300993e+00
5.702361111111e+04,-2.963741263085e+00,-2.893453769712e-01,2.917769774004e+00
5.702361458333e+04,-2.922569892968e+00,-4.101665370731e-01,2.944692192464e+00
5.702361805556e+04,-2.882169840958e+00,-5.323316034015e-01,2.964891827313e+00
5.702362152778e+04,-2.842650402438e+00,-6.555798829842e-01,2.978324559601e+00
5.702362500000e+04,-2.804108756474e+00,-7.796443914481e-01,2.984961001508e+00
5.702362847222e+04,-2.766629573074e+00,-9.042528926982e-01,2.984786589895e+00
5.702363194444e+04,-2.730284688862e+00,-1.029128941636e+00,2.977801641317e+00
5.702363541667e+04,-2.695132845525e+00,-1.153992945786e+00,2.964021373375e+00
5.702363888889e+04,-2.661219486514e+00,-1.278563262338e+00,2.943475888227e+00
5.702364236111e+04,-2.628576630392e+00,-1.402557263204e+00,2.916210125723e+00
5.702364583333e+04,-2.597222797774e+00,-1.525692447224e+00,2.882283776970e+00
5.702364930556e+04,-2.567163010872e+00,-1.647687527955e+00,2.841771166299e+00
5.702365277778e+04,-2.538388852457e+00,-1.768263541991e+00,2.794761090964e+00
5.702365625000e+04,-2.510878600097e+00,-1.887144907678e+00,2.741356640202e+00
5.702365972222e+04,-2.484597414869e+00,-2.004060511500e+00,2.681674966891e+00
5.702366319444e+04,-2.459497598838e+00,-2.118744756067e+00,2.615847032172e+00
5.702366666667e+04,-2.435518914736e+00,-2.230938586162e+00,2.544017318438e+00
5.702367013889e+04,-2.412588962616e+00,-2.340390506748e+00,2.466343497804e+00
5.702367361111e+04,-2.390623623691e+00,-2.446857532447e+00,2.382996093478e+00
5.702367708333e+04,-2.369527553233e+00,-2.550106139622e+00,2.294158086731e+00
5.702368055556e+04,-2.349194733073e+00,-2.649913157131e+00,2.200024509306e+00
5.702368402778e+04,-2.329509072228e+00,-2.746066634534e+00,2.100801988975e+00
