# GPS_1DAY_SPMH test orbit
# System: GDZ
# Units: km
# Data Delimiter: Comma
# Time format: YrMoDaGmt
# Year,Month,Day,Gmt,X,Y,Z
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.559999999776e+04,2.018547643645e+04,1.712933273986e+01,8.178464468062e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.590000000000e+04,2.018591700233e+04,1.913080795506e+01,8.212298311872e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.620000000224e+04,2.018639494489e+04,2.111811975045e+01,8.250012869593e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.650000000447e+04,2.018690660707e+04,2.308926761349e+01,8.292125921465e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.679999999665e+04,2.018744807379e+04,2.504208267471e+01,8.339188055824e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.709999999888e+04,2.018801520190e+04,2.697420237620e+01,8.391786010317e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.740000000112e+04,2.018860365179e+04,2.888304178932e+01,8.450545766501e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.770000000335e+04,2.018920892070e+04,3.076576270134e+01,8.516135233063e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.799999999553e+04,2.018982637705e+04,3.261923932376e+01,8.589266215221e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.829999999776e+04,2.019045129604e+04,3.444002143160e+01,8.670695314191e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.860000000000e+04,2.019107889564e+04,3.622429420659e+01,8.761223206442e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.890000000224e+04,2.019170437327e+04,3.796783663038e+01,8.861691679977e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.920000000447e+04,2.019232294252e+04,3.966597857204e+01,8.972977531759e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.949999999665e+04,2.019292986978e+04,4.131355862985e+01,9.095982268590e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.979999999888e+04,2.019352051054e+04,4.290488561078e+01,9.231616360006e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,5.010000000112e+04,2.019409034479e+04,4.443370656539e+01,9.380776537682e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,5.040000000335e+04,2.019463501173e+04,4.589318758870e+01,9.544314716397e+01
