# File: Run/ephem_molinya.dat
#
# Ephemeris generated from specified elements
# Propagator: SGP4 (improved,WGS84)
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
57040.64652778,-0.39405606,0.42190122,-1.09155892
57040.64722222,-0.46796001,0.37725358,-1.07730140
57040.64791667,-0.54048426,0.33149250,-1.05986505
57040.64861111,-0.61142056,0.28475586,-1.03931143
57040.64930556,-0.68057757,0.23718863,-1.01572945
57040.65000000,-0.74778455,0.18893970,-0.98923292
57040.65069444,-0.81289395,0.14015858,-0.95995720
57040.65138889,-0.87578321,0.09099246,-0.92805532
57040.65208333,-0.93635543,0.04158345,-0.89369383
57040.65277778,-0.99453914,-0.00793372,-0.85704853
57040.65347222,-1.05028722,-0.05743341,-0.81830045
57040.65416667,-1.10357528,-0.10680039,-0.77763210
57040.65486111,-1.15439947,-0.15593058,-0.73522424
57040.65555556,-1.20277400,-0.20473139,-0.69125321
57040.65625000,-1.24872869,-0.25312163,-0.64588871
57040.65694444,-1.29230631,-0.30103122,-0.59929225
57040.65763889,-1.33356019,-0.34840055,-0.55161601
57040.65833333,-1.37255197,-0.39517979,-0.50300215
57040.65902778,-1.40934953,-0.44132805,-0.45358248
57040.65972222,-1.44402520,-0.48681252,-0.40347844
57040.66041667,-1.47665426,-0.53160758,-0.35280128
57040.66111111,-1.50731358,-0.57569399,-0.30165241
57040.66180556,-1.53608059,-0.61905804,-0.25012389
57040.66250000,-1.56303238,-0.66169085,-0.19829900
57040.66319444,-1.58824500,-0.70358765,-0.14625279
57040.66388889,-1.61179295,-0.74474719,-0.09405271
57040.66458333,-1.63374873,-0.78517120,-0.04175924
57040.66527778,-1.65418258,-0.82486388,0.01057352
57040.66597222,-1.67316222,-0.86383148,0.06289730
57040.66666667,-1.69075278,-0.90208196,0.11516912
57040.66736111,-1.70701669,-0.93962462,0.16735078
57040.66805556,-1.72201363,-0.97646987,0.21940838
57040.66875000,-1.73580061,-1.01262898,0.27131193
57040.66944444,-1.74843194,-1.04811386,0.32303492
57040.67013889,-1.75995934,-1.08293692,0.37455400
57040.67083333,-1.77043198,-1.11711089,0.42584861
57040.67152778,-1.77989661,-1.15064874,0.47690076
57040.67222222,-1.78839762,-1.18356355,0.52769469
57040.67291667,-1.79597715,-1.21586843,0.57821668
57040.67361111,-1.80267520,-1.24757646,0.62845482
57040.67430556,-1.80852975,-1.27870061,0.67839881
57040.67500000,-1.81357682,-1.30925373,0.72803982
57040.67569444,-1.81785058,-1.33924848,0.77737030
57040.67638889,-1.82138349,-1.36869732,0.82638387
57040.67708333,-1.82420635,-1.39761246,0.87507517
57040.67777778,-1.82634838,-1.42600589,0.92343975
57040.67847222,-1.82783737,-1.45388930,0.97147402
57040.67916667,-1.82869970,-1.48127413,1.01917510
57040.67986111,-1.82896041,-1.50817154,1.06654075
57040.68055556,-1.82864336,-1.53459240,1.11356935
57040.68125000,-1.82777119,-1.56054730,1.16025977
57040.68194444,-1.82636546,-1.58604654,1.20661135
57040.68263889,-1.82444670,-1.61110014,1.25262385
57040.68333333,-1.82203444,-1.63571784,1.29829738
57040.68402778,-1.81914729,-1.65990911,1.34363239
57040.68472222,-1.81580299,-1.68368313,1.38862959
57040.68541667,-1.81201844,-1.70704884,1.43328997
57040.68611111,-1.80780978,-1.73001490,1.47761474
57040.68680556,-1.80319241,-1.75258973,1.52160530
57040.68750000,-1.79818102,-1.77478150,1.56526323
57040.68819444,-1.79278964,-1.79659813,1.60859024
57040.68888889,-1.78703170,-1.81804733,1.65158821
57040.68958333,-1.78092003,-1.83913655,1.69425911
57040.69027778,-1.77446689,-1.85987306,1.73660502
57040.69097222,-1.76768402,-1.88026388,1.77862809
57040.69166667,-1.76058267,-1.90031584,1.82033056
57040.69236111,-1.75317361,-1.92003558,1.86171473
57040.69305556,-1.74546715,-1.93942953,1.90278294
57040.69375000,-1.73747318,-1.95850394,1.94353760
57040.69444444,-1.72920120,-1.97726488,1.98398113
57040.69513889,-1.72066030,-1.99571825,2.02411598
57040.69583333,-1.71185923,-2.01386978,2.06394463
57040.69652778,-1.70280638,-2.03172502,2.10346956
57040.69722222,-1.69350980,-2.04928939,2.14269330
57040.69791667,-1.68397725,-2.06656814,2.18161833
57040.69861111,-1.67421618,-2.08356637,2.22024717
57040.69930556,-1.66423376,-2.10028905,2.25858232
57040.70000000,-1.65403687,-2.11674101,2.29662629
57040.70069444,-1.64363217,-2.13292695,2.33438156
57040.70138889,-1.63302604,-2.14885143,2.37185062
57040.70208333,-1.62222464,-2.16451889,2.40903593
57040.70277778,-1.61123391,-2.17993366,2.44593994
57040.70347222,-1.60005957,-2.19509995,2.48256509
57040.70416667,-1.58870714,-2.21002186,2.51891379
57040.70486111,-1.57718194,-2.22470338,2.55498844
57040.70555556,-1.56548912,-2.23914838,2.59079140
57040.70625000,-1.55363363,-2.25336067,2.62632503
57040.70694444,-1.54162026,-2.26734392,2.66159165
57040.70763889,-1.52945366,-2.28110172,2.69659356
57040.70833333,-1.51713828,-2.29463759,2.73133305
57040.70902778,-1.50467845,-2.30795493,2.76581236
57040.70972222,-1.49207837,-2.32105707,2.80003371
57040.71041667,-1.47934206,-2.33394726,2.83399931
57040.71111111,-1.46647346,-2.34662866,2.86771133
57040.71180556,-1.45347634,-2.35910437,2.90117190
57040.71250000,-1.44035437,-2.37137739,2.93438316
57040.71319444,-1.42711112,-2.38345068,2.96734720
57040.71388889,-1.41375002,-2.39532709,3.00006606
57040.71458333,-1.40027441,-2.40700944,3.03254181
57040.71527778,-1.38668752,-2.41850047,3.06477643
57040.71597222,-1.37299249,-2.42980284,3.09677192
57040.71666667,-1.35919236,-2.44091916,3.12853024
57040.71736111,-1.34529008,-2.45185200,3.16005331
57040.71805556,-1.33128852,-2.46260384,3.19134303
57040.71875000,-1.31719045,-2.47317712,3.22240128
57040.71944444,-1.30299857,-2.48357422,3.25322992
57040.72013889,-1.28871551,-2.49379748,3.28383077
57040.72083333,-1.27434381,-2.50384916,3.31420563
57040.72152778,-1.25988594,-2.51373151,3.34435626
57040.72222222,-1.24534431,-2.52344669,3.37428443
57040.72291667,-1.23072126,-2.53299684,3.40399186
57040.72361111,-1.21601905,-2.54238405,3.43348023
57040.72430556,-1.20123990,-2.55161035,3.46275124
57040.72500000,-1.18638597,-2.56067775,3.49180654
57040.72569444,-1.17145933,-2.56958820,3.52064774
57040.72638889,-1.15646204,-2.57834362,3.54927646
57040.72708333,-1.14139606,-2.58694589,3.57769428
57040.72777778,-1.12626334,-2.59539683,3.60590275
57040.72847222,-1.11106575,-2.60369826,3.63390342
57040.72916667,-1.09580513,-2.61185194,3.66169781
57040.72986111,-1.08048326,-2.61985959,3.68928739
57040.73055556,-1.06510187,-2.62772290,3.71667365
57040.73125000,-1.04966267,-2.63544354,3.74385805
57040.73194444,-1.03416731,-2.64302314,3.77084200
57040.73263889,-1.01861739,-2.65046329,3.79762691
57040.73333333,-1.00301450,-2.65776555,3.82421419
57040.73402778,-0.98736016,-2.66493146,3.85060520
57040.73472222,-0.97165588,-2.67196252,3.87680130
57040.73541667,-0.95590310,-2.67886022,3.90280380
57040.73611111,-0.94010326,-2.68562599,3.92861404
57040.73680556,-0.92425776,-2.69226126,3.95423330
57040.73750000,-0.90836794,-2.69876742,3.97966285
57040.73819444,-0.89243514,-2.70514585,4.00490397
57040.73888889,-0.87646065,-2.71139788,4.02995789
57040.73958333,-0.86044574,-2.71752484,4.05482582
57040.74027778,-0.84439164,-2.72352802,4.07950899
57040.74097222,-0.82829958,-2.72940869,4.10400858
57040.74166667,-0.81217073,-2.73516810,4.12832577
57040.74236111,-0.79600624,-2.74080748,4.15246170
57040.74305556,-0.77980726,-2.74632804,4.17641753
57040.74375000,-0.76357488,-2.75173095,4.20019438
57040.74444444,-0.74731018,-2.75701738,4.22379335
57040.74513889,-0.73101423,-2.76218848,4.24721555
57040.74583333,-0.71468807,-2.76724537,4.27046205
57040.74652778,-0.69833270,-2.77218915,4.29353392
57040.74722222,-0.68194912,-2.77702090,4.31643221
57040.74791667,-0.66553830,-2.78174170,4.33915796
57040.74861111,-0.64910119,-2.78635260,4.36171219
57040.74930556,-0.63263873,-2.79085461,4.38409590
57040.75000000,-0.61615182,-2.79524877,4.40631010
57040.75069444,-0.59964137,-2.79953607,4.42835576
57040.75138889,-0.58310824,-2.80371749,4.45023386
57040.75208333,-0.56655330,-2.80779399,4.47194534
57040.75277778,-0.54997739,-2.81176653,4.49349116
57040.75347222,-0.53338134,-2.81563604,4.51487224
57040.75416667,-0.51676595,-2.81940344,4.53608951
57040.75486111,-0.50013201,-2.82306963,4.55714387
57040.75555556,-0.48348031,-2.82663551,4.57803620
57040.75625000,-0.46681161,-2.83010195,4.59876741
57040.75694444,-0.45012665,-2.83346982,4.61933835
57040.75763889,-0.43342618,-2.83673997,4.63974989
57040.75833333,-0.41671091,-2.83991322,4.66000288
57040.75902778,-0.39998155,-2.84299041,4.68009814
57040.75972222,-0.38323880,-2.84597235,4.70003652
57040.76041667,-0.36648333,-2.84885984,4.71981883
57040.76111111,-0.34971582,-2.85165366,4.73944587
57040.76180556,-0.33293692,-2.85435459,4.75891844
57040.76250000,-0.31614728,-2.85696339,4.77823732
57040.76319444,-0.29934754,-2.85948082,4.79740329
57040.76388889,-0.28253831,-2.86190761,4.81641712
57040.76458333,-0.26572021,-2.86424450,4.83527955
